Caching ACs
Training  for 10 epoch(s)
Epoch 1
Iteration:  100 	s:7.8437 	Average Loss:  1.0877324742078782
Iteration:  200 	s:7.6472 	Average Loss:  1.099626299738884
Iteration:  300 	s:7.4593 	Average Loss:  1.0990468597412109
Iteration:  400 	s:7.5041 	Average Loss:  1.1001917678117752
Iteration:  500 	s:7.6019 	Average Loss:  1.0984871101379394
Iteration:  600 	s:7.7034 	Average Loss:  1.0988867127895354
Iteration:  700 	s:7.7618 	Average Loss:  1.0988531303405762
Iteration:  800 	s:7.8052 	Average Loss:  1.096037391424179
Iteration:  900 	s:7.6452 	Average Loss:  1.1027924650907517
Iteration:  1000 	s:7.7640 	Average Loss:  1.0997350245714188
Iteration:  1100 	s:7.8720 	Average Loss:  1.0986141544580459
Iteration:  1200 	s:7.8062 	Average Loss:  1.0984888118505478
Iteration:  1300 	s:7.6645 	Average Loss:  1.1065203109383583
Iteration:  1400 	s:7.6999 	Average Loss:  1.0898465958237649
Iteration:  1500 	s:7.6727 	Average Loss:  1.033175204587169
Iteration:  1600 	s:7.7658 	Average Loss:  1.080363994538784
Iteration:  1700 	s:7.6621 	Average Loss:  1.0028662931267172
Iteration:  1800 	s:7.3602 	Average Loss:  0.9509464550204575
Iteration:  1900 	s:7.3175 	Average Loss:  0.7728700685327203
Iteration:  2000 	s:7.4087 	Average Loss:  0.767280693037319
Iteration:  2100 	s:7.7985 	Average Loss:  0.5412831820691645
Iteration:  2200 	s:7.4865 	Average Loss:  0.5930207138461993
Iteration:  2300 	s:7.6161 	Average Loss:  0.3686606310878415
Iteration:  2400 	s:7.4842 	Average Loss:  0.3900277167886952
Iteration:  2500 	s:7.7269 	Average Loss:  0.27243708512032755
Iteration:  2600 	s:7.6049 	Average Loss:  0.40826269102180957
Iteration:  2700 	s:7.5641 	Average Loss:  0.3238783656176747
Iteration:  2800 	s:7.7349 	Average Loss:  0.21439324089522416
Iteration:  2900 	s:7.6107 	Average Loss:  0.29017062149731715
Iteration:  3000 	s:7.6180 	Average Loss:  0.2377685604547878
Iteration:  3100 	s:7.6792 	Average Loss:  0.28977020588470626
Iteration:  3200 	s:7.4317 	Average Loss:  0.21560258642544397
Iteration:  3300 	s:7.6136 	Average Loss:  0.36528337088474416
Iteration:  3400 	s:7.3258 	Average Loss:  0.281527161814156
Iteration:  3500 	s:7.4124 	Average Loss:  0.3022611250544378
Iteration:  3600 	s:7.5630 	Average Loss:  0.3087435257792822
Iteration:  3700 	s:7.5433 	Average Loss:  0.3235497228727354
Iteration:  3800 	s:7.5565 	Average Loss:  0.2243137554416171
Iteration:  3900 	s:7.5513 	Average Loss:  0.2546589409683338
Iteration:  4000 	s:7.5315 	Average Loss:  0.2903998212559236
Iteration:  4100 	s:7.5401 	Average Loss:  0.20484241307523918
Iteration:  4200 	s:7.5179 	Average Loss:  0.15121973739676833
Iteration:  4300 	s:7.4574 	Average Loss:  0.2738143503979882
Iteration:  4400 	s:7.4766 	Average Loss:  0.25229192419672614
Iteration:  4500 	s:7.5530 	Average Loss:  0.19908948050970138
Iteration:  4600 	s:7.6268 	Average Loss:  0.18040761467096672
Iteration:  4700 	s:7.4146 	Average Loss:  0.17050969350675588
Iteration:  4800 	s:7.5326 	Average Loss:  0.11512028001472299
Iteration:  4900 	s:7.4755 	Average Loss:  0.18825086808444097
Iteration:  5000 	s:7.3947 	Average Loss:  0.1410725035931648
Epoch time:  379.48288226127625
Epoch 2
Iteration:  5100 	s:7.5267 	Average Loss:  0.27063154001595646
Iteration:  5200 	s:7.5602 	Average Loss:  0.11107863806868522
Iteration:  5300 	s:7.3401 	Average Loss:  0.16812594547946427
Iteration:  5400 	s:7.3123 	Average Loss:  0.1627077493057763
Iteration:  5500 	s:7.2290 	Average Loss:  0.1513641616144207
