Caching ACs
Training  for 10 epoch(s)
Epoch 1
Iteration:  100 	s:27.7486 	Average Loss:  2.9836539232730868
Iteration:  200 	s:18.9610 	Average Loss:  2.713667976260185
Iteration:  300 	s:19.0515 	Average Loss:  2.6811418187618257
Iteration:  400 	s:18.0904 	Average Loss:  2.483085096478462
Iteration:  500 	s:18.2624 	Average Loss:  2.4334525334835053
Iteration:  600 	s:18.6812 	Average Loss:  2.2416473132371904
Iteration:  700 	s:18.7916 	Average Loss:  2.163599045574665
Iteration:  800 	s:19.0871 	Average Loss:  1.8802604649960994
Iteration:  900 	s:17.9109 	Average Loss:  1.4829932107497006
Iteration:  1000 	s:17.5241 	Average Loss:  1.0909367489255966
Iteration:  1100 	s:16.9592 	Average Loss:  0.8738953252119245
Iteration:  1200 	s:17.0253 	Average Loss:  0.9765263408460305
Iteration:  1300 	s:18.0380 	Average Loss:  0.7286264323678915
Iteration:  1400 	s:17.3640 	Average Loss:  0.8645049266632122
Iteration:  1500 	s:17.8420 	Average Loss:  0.8599892802583053
Iteration:  1600 	s:17.1715 	Average Loss:  0.7269701989975874
Iteration:  1700 	s:17.0468 	Average Loss:  0.49888656551426264
Iteration:  1800 	s:16.4151 	Average Loss:  0.30767069036348405
Iteration:  1900 	s:15.9036 	Average Loss:  0.5232604022580198
Iteration:  2000 	s:16.3400 	Average Loss:  0.527612177646588
Iteration:  2100 	s:15.7747 	Average Loss:  0.4159174399037147
Iteration:  2200 	s:15.1781 	Average Loss:  0.558208085658107
Iteration:  2300 	s:15.1215 	Average Loss:  0.3291651379210816
Iteration:  2400 	s:16.4012 	Average Loss:  0.5318329940826544
Iteration:  2500 	s:16.7902 	Average Loss:  0.4619265740744595
Iteration:  2600 	s:15.8099 	Average Loss:  0.37195625398425364
Iteration:  2700 	s:16.6091 	Average Loss:  0.6459659120207653
Iteration:  2800 	s:16.2834 	Average Loss:  0.3064439018084522
Iteration:  2900 	s:15.7992 	Average Loss:  0.3325598259160688
Iteration:  3000 	s:17.0269 	Average Loss:  0.5751938408404204
Iteration:  3100 	s:15.9354 	Average Loss:  0.19510068962361402
Iteration:  3200 	s:15.6247 	Average Loss:  0.23872845603570977
Iteration:  3300 	s:15.5689 	Average Loss:  0.3404508083325709
Iteration:  3400 	s:15.5662 	Average Loss:  0.3759668145527212
Iteration:  3500 	s:15.7417 	Average Loss:  0.33474650617239604
Iteration:  3600 	s:15.3431 	Average Loss:  0.2095400478326287
Iteration:  3700 	s:15.5994 	Average Loss:  0.3195450170673939
Iteration:  3800 	s:16.2686 	Average Loss:  0.4108340256016163
Iteration:  3900 	s:16.4174 	Average Loss:  0.1930263108548752
Iteration:  4000 	s:15.4663 	Average Loss:  0.289140536639411
Iteration:  4100 	s:15.5779 	Average Loss:  0.24892216921512955
Iteration:  4200 	s:15.7159 	Average Loss:  0.3070263018172909
Iteration:  4300 	s:14.8943 	Average Loss:  0.34029985652747563
Iteration:  4400 	s:18.6620 	Average Loss:  0.1856223443320232
Iteration:  4500 	s:15.8585 	Average Loss:  0.4921012334871557
Iteration:  4600 	s:15.8876 	Average Loss:  0.30465515282536215
Iteration:  4700 	s:14.4461 	Average Loss:  0.22325422286244248
Iteration:  4800 	s:15.4321 	Average Loss:  0.28176295981524163
Iteration:  4900 	s:15.1894 	Average Loss:  0.28519995431959616
Iteration:  5000 	s:14.9350 	Average Loss:  0.3547563966316325
Epoch time:  839.2393290996552
Epoch 2
Iteration:  5100 	s:14.9465 	Average Loss:  0.3438712434489271
Iteration:  5200 	s:15.4477 	Average Loss:  0.28614513259275054
Iteration:  5300 	s:15.4635 	Average Loss:  0.28292054481906237
Iteration:  5400 	s:15.2558 	Average Loss:  0.21690928987868982
Iteration:  5500 	s:15.7739 	Average Loss:  0.4048317208914291
Iteration:  5600 	s:16.3188 	Average Loss:  0.20933537873678187
Iteration:  5700 	s:15.5263 	Average Loss:  0.3099156768957155
Iteration:  5800 	s:16.0591 	Average Loss:  0.2695501829004934
Iteration:  5900 	s:15.3318 	Average Loss:  0.28363570824097634
Iteration:  6000 	s:16.0061 	Average Loss:  0.2662217319086035
Iteration:  6100 	s:15.5601 	Average Loss:  0.17195104049033944
Iteration:  6200 	s:16.1162 	Average Loss:  0.3006903353359157
Iteration:  6300 	s:15.4982 	Average Loss:  0.28462871207111673
Iteration:  6400 	s:15.7446 	Average Loss:  0.3096397515168974
Iteration:  6500 	s:16.2858 	Average Loss:  0.3720865177398214
Iteration:  6600 	s:15.4074 	Average Loss:  0.3424357329501977
Iteration:  6700 	s:15.0066 	Average Loss:  0.1531807350036879
Iteration:  6800 	s:15.0361 	Average Loss:  0.18400263854856572
Iteration:  6900 	s:14.8470 	Average Loss:  0.20979306167542106
Iteration:  7000 	s:16.1337 	Average Loss:  0.27995142072864515
Iteration:  7100 	s:15.3675 	Average Loss:  0.2312922380249338
