Caching ACs
Training  for 10 epoch(s)
Epoch 1
Iteration:  100 	s:8.8559 	Average Loss:  0.24715131673961876
Iteration:  200 	s:8.6275 	Average Loss:  0.24823680344969035
Iteration:  300 	s:8.7346 	Average Loss:  0.35791073728352785
Iteration:  400 	s:8.6444 	Average Loss:  0.2526415401813574
Iteration:  500 	s:8.6383 	Average Loss:  0.38180982875957853
Iteration:  600 	s:8.6263 	Average Loss:  0.27805287821567615
Iteration:  700 	s:8.5562 	Average Loss:  0.30243630393488274
Iteration:  800 	s:8.5399 	Average Loss:  0.3119156698077677
Iteration:  900 	s:8.6181 	Average Loss:  0.3112037018724368
Iteration:  1000 	s:8.5132 	Average Loss:  0.34307448824634773
Iteration:  1100 	s:8.6609 	Average Loss:  0.28824959338671763
Iteration:  1200 	s:8.7209 	Average Loss:  0.25253366132257726
Iteration:  1300 	s:8.5799 	Average Loss:  0.335863967010755
Iteration:  1400 	s:8.5170 	Average Loss:  0.37822295860690247
Iteration:  1500 	s:8.6178 	Average Loss:  0.2725641962599184
Iteration:  1600 	s:8.2782 	Average Loss:  0.2047020642234803
Iteration:  1700 	s:8.3071 	Average Loss:  0.20267690026327337
Iteration:  1800 	s:8.3203 	Average Loss:  0.22682940629798026
Iteration:  1900 	s:8.4713 	Average Loss:  0.21199848383089376
Iteration:  2000 	s:8.5121 	Average Loss:  0.2370402593019503
Iteration:  2100 	s:8.4652 	Average Loss:  0.2375277431059022
Iteration:  2200 	s:8.6281 	Average Loss:  0.24029571294177685
Iteration:  2300 	s:8.3273 	Average Loss:  0.23342735321850835
Iteration:  2400 	s:8.4520 	Average Loss:  0.19961639986277033
Iteration:  2500 	s:8.2253 	Average Loss:  0.22952382622692538
Iteration:  2600 	s:8.2004 	Average Loss:  0.15958141192135053
Iteration:  2700 	s:8.2551 	Average Loss:  0.14103462396530358
Iteration:  2800 	s:8.2007 	Average Loss:  0.20789152335536937
Iteration:  2900 	s:8.2492 	Average Loss:  0.2526471815898185
Iteration:  3000 	s:8.1105 	Average Loss:  0.18858285525308233
Iteration:  3100 	s:8.1047 	Average Loss:  0.2076444407476336
Iteration:  3200 	s:8.0733 	Average Loss:  0.1819532466343037
Iteration:  3300 	s:8.1074 	Average Loss:  0.17557326737037116
Iteration:  3400 	s:8.0062 	Average Loss:  0.1860281868139097
Iteration:  3500 	s:8.0328 	Average Loss:  0.15611241463823233
Iteration:  3600 	s:8.0155 	Average Loss:  0.1827839371030859
Iteration:  3700 	s:8.0590 	Average Loss:  0.15592670784829352
Iteration:  3800 	s:7.7457 	Average Loss:  0.1610901089203187
Iteration:  3900 	s:7.9504 	Average Loss:  0.17743499679275326
Iteration:  4000 	s:7.9991 	Average Loss:  0.1761655441535995
Iteration:  4100 	s:7.9761 	Average Loss:  0.17172964790389822
Iteration:  4200 	s:7.8753 	Average Loss:  0.1490373047784219
Iteration:  4300 	s:7.8942 	Average Loss:  0.1783146403530996
Iteration:  4400 	s:7.9307 	Average Loss:  0.17492388288649088
Iteration:  4500 	s:7.9031 	Average Loss:  0.1616258671051022
Iteration:  4600 	s:7.9841 	Average Loss:  0.12657751655543564
Iteration:  4700 	s:7.8039 	Average Loss:  0.2711757084460471
Iteration:  4800 	s:7.7721 	Average Loss:  0.11847033273236046
Iteration:  4900 	s:7.8466 	Average Loss:  0.15229114706051614
Iteration:  5000 	s:7.6429 	Average Loss:  0.12132970945556185
Epoch time:  413.24972915649414
Epoch 2
Iteration:  5100 	s:7.5424 	Average Loss:  0.0887530368605418
Iteration:  5200 	s:7.5478 	Average Loss:  0.07713192919426287
Iteration:  5300 	s:7.7396 	Average Loss:  0.20645049315252106
Iteration:  5400 	s:7.8253 	Average Loss:  0.1501514502129869
Iteration:  5500 	s:7.6574 	Average Loss:  0.09005240744529011
Iteration:  5600 	s:8.1204 	Average Loss:  0.21112487316763948
Iteration:  5700 	s:7.7324 	Average Loss:  0.1255274919855668
Iteration:  5800 	s:7.8567 	Average Loss:  0.13647837507289595
Iteration:  5900 	s:7.9332 	Average Loss:  0.13933251813657319
Iteration:  6000 	s:7.8770 	Average Loss:  0.13411584543187371
Iteration:  6100 	s:7.9270 	Average Loss:  0.08180053293012861
Iteration:  6200 	s:7.7819 	Average Loss:  0.08442492743208017
Iteration:  6300 	s:7.3374 	Average Loss:  0.08605758747025714
Iteration:  6400 	s:7.2985 	Average Loss:  0.11767539075986097
Iteration:  6500 	s:7.8740 	Average Loss:  0.15147505514450757
Iteration:  6600 	s:7.8275 	Average Loss:  0.08187847756221334
Iteration:  6700 	s:7.6969 	Average Loss:  0.11867819981279332
Iteration:  6800 	s:8.2193 	Average Loss:  0.21058018379592794
Iteration:  6900 	s:7.9518 	Average Loss:  0.07677835845792083
Iteration:  7000 	s:7.8681 	Average Loss:  0.15540487762366467
Iteration:  7100 	s:7.8587 	Average Loss:  0.10391237207508493
Iteration:  7200 	s:8.0670 	Average Loss:  0.12442035079085258
Iteration:  7300 	s:7.6608 	Average Loss:  0.1443967960606371
Iteration:  7400 	s:7.9600 	Average Loss:  0.1286728631599135
Iteration:  7500 	s:7.8054 	Average Loss:  0.12997105035200218
Iteration:  7600 	s:7.6717 	Average Loss:  0.07209642703982184
Iteration:  7700 	s:7.5369 	Average Loss:  0.07542437475009937
Iteration:  7800 	s:7.4295 	Average Loss:  0.11524595835618473
Iteration:  7900 	s:7.7836 	Average Loss:  0.11916153996641256
Iteration:  8000 	s:7.8077 	Average Loss:  0.11180828167792196
Iteration:  8100 	s:7.7379 	Average Loss:  0.13569508397658261
Iteration:  8200 	s:7.8081 	Average Loss:  0.11281433100014737
Iteration:  8300 	s:7.9623 	Average Loss:  0.10386022500080686
Iteration:  8400 	s:7.6211 	Average Loss:  0.07883725589359881
Iteration:  8500 	s:7.5387 	Average Loss:  0.03930556083733496
Iteration:  8600 	s:7.6046 	Average Loss:  0.12982019240388631
Iteration:  8700 	s:7.6341 	Average Loss:  0.10903511595926212
Iteration:  8800 	s:7.3911 	Average Loss:  0.09558060195703649
Iteration:  8900 	s:7.3368 	Average Loss:  0.11902907149456496
Iteration:  9000 	s:7.1478 	Average Loss:  0.10438312134131074
Iteration:  9100 	s:7.3947 	Average Loss:  0.10588644498009557
Iteration:  9200 	s:7.3026 	Average Loss:  0.0845909023468623
Iteration:  9300 	s:7.5105 	Average Loss:  0.10070055401459452
Iteration:  9400 	s:7.1852 	Average Loss:  0.10786316096370131
Iteration:  9500 	s:7.4191 	Average Loss:  0.13341075040569678
Iteration:  9600 	s:7.5816 	Average Loss:  0.1344907088284366
Iteration:  9700 	s:7.7198 	Average Loss:  0.11848363408803304
Iteration:  9800 	s:7.3842 	Average Loss:  0.10204299827481865
Iteration:  9900 	s:7.6032 	Average Loss:  0.15696611651595238
Iteration:  10000 	s:8.0905 	Average Loss:  0.0946295272331065
Epoch time:  384.19053387641907
Epoch 3
Iteration:  10100 	s:7.8610 	Average Loss:  0.0607859406075915
Iteration:  10200 	s:7.4394 	Average Loss:  0.030825890790931468
Iteration:  10300 	s:7.4323 	Average Loss:  0.10225688578413657
Iteration:  10400 	s:7.4242 	Average Loss:  0.1056144633853576
Iteration:  10500 	s:7.2541 	Average Loss:  0.05346177846763195
Iteration:  10600 	s:7.1095 	Average Loss:  0.06387575327554446
Iteration:  10700 	s:7.1424 	Average Loss:  0.1010353143013139
Iteration:  10800 	s:7.0523 	Average Loss:  0.08109319893350103
Iteration:  10900 	s:7.3262 	Average Loss:  0.09804094867697315
Iteration:  11000 	s:7.4840 	Average Loss:  0.06014506466121649
Iteration:  11100 	s:7.4240 	Average Loss:  0.04918510431827861
Iteration:  11200 	s:7.1393 	Average Loss:  0.022542926519687326
Iteration:  11300 	s:7.0684 	Average Loss:  0.05905746044284295
Iteration:  11400 	s:7.0052 	Average Loss:  0.1632051504662836
Iteration:  11500 	s:7.5625 	Average Loss:  0.12615668717612674
Iteration:  11600 	s:7.2895 	Average Loss:  0.050747373709025476
Iteration:  11700 	s:7.0986 	Average Loss:  0.06252487041507696
Iteration:  11800 	s:7.3614 	Average Loss:  0.13739749368457158
Iteration:  11900 	s:7.6058 	Average Loss:  0.08079534897065972
Iteration:  12000 	s:7.3663 	Average Loss:  0.10069469970361616
Iteration:  12100 	s:7.4420 	Average Loss:  0.09490119011327995
Iteration:  12200 	s:7.5421 	Average Loss:  0.09489239488640715
Iteration:  12300 	s:7.1377 	Average Loss:  0.12317896803630965
Iteration:  12400 	s:7.3124 	Average Loss:  0.10649740341758566
Iteration:  12500 	s:7.2200 	Average Loss:  0.06431845442428646
Iteration:  12600 	s:7.1538 	Average Loss:  0.037765762018926896
Iteration:  12700 	s:6.7467 	Average Loss:  0.05273653688779955
Iteration:  12800 	s:6.8044 	Average Loss:  0.07078756819433227
Iteration:  12900 	s:7.2019 	Average Loss:  0.0859002884234631
Iteration:  13000 	s:7.3491 	Average Loss:  0.1114682263777759
Iteration:  13100 	s:7.2102 	Average Loss:  0.025975585106837774
Iteration:  13200 	s:6.9618 	Average Loss:  0.04869340515876284
Iteration:  13300 	s:7.0913 	Average Loss:  0.060468378138660954
Iteration:  13400 	s:6.7032 	Average Loss:  0.02553900860815995
Iteration:  13500 	s:6.9176 	Average Loss:  0.03713034144804579
Iteration:  13600 	s:7.1762 	Average Loss:  0.07463221706327178
Iteration:  13700 	s:7.0019 	Average Loss:  0.029559420401674856
Iteration:  13800 	s:6.6908 	Average Loss:  0.044063905019939675
Iteration:  13900 	s:6.7056 	Average Loss:  0.04318247471081569
Iteration:  14000 	s:6.6820 	Average Loss:  0.09923583694546068
Iteration:  14100 	s:6.7619 	Average Loss:  0.06018445885404976
Iteration:  14200 	s:6.6226 	Average Loss:  0.04990201668955097
Iteration:  14300 	s:7.1615 	Average Loss:  0.05127177150665462
Iteration:  14400 	s:6.7938 	Average Loss:  0.07759238543832658
Iteration:  14500 	s:6.7080 	Average Loss:  0.10746737313875393
Iteration:  14600 	s:6.6498 	Average Loss:  0.015336465118114501
Iteration:  14700 	s:6.8302 	Average Loss:  0.04774852182669176
Iteration:  14800 	s:6.7933 	Average Loss:  0.031779433730315054
Iteration:  14900 	s:6.6544 	Average Loss:  0.13177996050926763
Iteration:  15000 	s:6.7044 	Average Loss:  0.06781274346259387
Epoch time:  355.16008472442627
Epoch 4
Iteration:  15100 	s:6.6525 	Average Loss:  0.05173368551357454
Iteration:  15200 	s:6.9794 	Average Loss:  0.04059873286389427
Iteration:  15300 	s:6.8611 	Average Loss:  0.07200407846646319
Iteration:  15400 	s:6.9727 	Average Loss:  0.05057658668817834
Iteration:  15500 	s:6.3939 	Average Loss:  0.07019768515538877
Iteration:  15600 	s:7.0476 	Average Loss:  0.04520658253362322
Iteration:  15700 	s:6.7240 	Average Loss:  0.025175060813286326
Iteration:  15800 	s:6.6617 	Average Loss:  0.01963872655015832
Iteration:  15900 	s:6.7590 	Average Loss:  0.05139636309026399
Iteration:  16000 	s:6.6681 	Average Loss:  0.03650826741355074
Iteration:  16100 	s:6.6379 	Average Loss:  0.01630789481972024
Iteration:  16200 	s:6.4221 	Average Loss:  0.022428230504434613
Iteration:  16300 	s:6.6874 	Average Loss:  0.12866917712220136
Iteration:  16400 	s:6.6967 	Average Loss:  0.0623177957448491
Iteration:  16500 	s:6.8967 	Average Loss:  0.06621285159539109
Iteration:  16600 	s:7.0211 	Average Loss:  0.023509015088904076
Iteration:  16700 	s:6.7327 	Average Loss:  0.02336367106131992
Iteration:  16800 	s:7.1573 	Average Loss:  0.12105634834481308
Iteration:  16900 	s:6.9820 	Average Loss:  0.041635350371336116
Iteration:  17000 	s:6.9819 	Average Loss:  0.10198492102677324
Iteration:  17100 	s:6.8323 	Average Loss:  0.06795788616368913
Iteration:  17200 	s:7.2584 	Average Loss:  0.058998483055768415
Iteration:  17300 	s:6.7532 	Average Loss:  0.08063645513249242
Iteration:  17400 	s:7.3125 	Average Loss:  0.0988897434639581
Iteration:  17500 	s:7.1231 	Average Loss:  0.03648618782133629
Iteration:  17600 	s:7.0924 	Average Loss:  0.02626227888448873
Iteration:  17700 	s:6.8046 	Average Loss:  0.014020754249671282
Iteration:  17800 	s:6.5633 	Average Loss:  0.07780687066583894
Iteration:  17900 	s:6.8526 	Average Loss:  0.06547426309539217
Iteration:  18000 	s:7.1709 	Average Loss:  0.04840756150700711
Iteration:  18100 	s:7.0547 	Average Loss:  0.03958280243574049
Iteration:  18200 	s:6.7863 	Average Loss:  0.10498743290738656
Iteration:  18300 	s:7.2128 	Average Loss:  0.05551561653113959
Iteration:  18400 	s:6.5549 	Average Loss:  0.02080594736348047
Iteration:  18500 	s:6.7687 	Average Loss:  0.023562174125041954
Iteration:  18600 	s:7.1637 	Average Loss:  0.08064809958280503
Iteration:  18700 	s:7.1495 	Average Loss:  0.016542543500484338
Iteration:  18800 	s:6.4798 	Average Loss:  0.021945594005572673
Iteration:  18900 	s:6.3803 	Average Loss:  0.024146751280977766
Iteration:  19000 	s:6.5509 	Average Loss:  0.046529843818552914
Iteration:  19100 	s:6.6039 	Average Loss:  0.05047333935395975
Iteration:  19200 	s:6.2139 	Average Loss:  0.024848370853216242
Iteration:  19300 	s:6.6257 	Average Loss:  0.030748185091095292
Iteration:  19400 	s:6.4520 	Average Loss:  0.07522568096129505
Iteration:  19500 	s:6.5175 	Average Loss:  0.05395621781722617
Iteration:  19600 	s:6.9243 	Average Loss:  0.06506812734360266
Iteration:  19700 	s:6.6901 	Average Loss:  0.015053157650963218
Iteration:  19800 	s:6.2684 	Average Loss:  0.0283593446696337
Iteration:  19900 	s:6.3946 	Average Loss:  0.05970857836795866
Iteration:  20000 	s:6.6252 	Average Loss:  0.018491440180698423
Epoch time:  339.1082971096039
Epoch 5
Iteration:  20100 	s:6.2924 	Average Loss:  0.04061178547643835
Iteration:  20200 	s:6.5012 	Average Loss:  0.03925225807104252
Iteration:  20300 	s:6.6372 	Average Loss:  0.090299505399954
Iteration:  20400 	s:6.9527 	Average Loss:  0.04261346057052771
Iteration:  20500 	s:6.2796 	Average Loss:  0.06847722670655644
Iteration:  20600 	s:6.2040 	Average Loss:  0.015006369529725623
Iteration:  20700 	s:6.2638 	Average Loss:  0.05014298538551033
Iteration:  20800 	s:6.2304 	Average Loss:  0.027217937179465315
Iteration:  20900 	s:6.0642 	Average Loss:  0.02525473882043917
Iteration:  21000 	s:6.5029 	Average Loss:  0.056034872710050455
Iteration:  21100 	s:6.3926 	Average Loss:  0.0518510270476641
Iteration:  21200 	s:5.9897 	Average Loss:  0.031101751843209256
Iteration:  21300 	s:6.1812 	Average Loss:  0.020118718421335897
Iteration:  21400 	s:6.0029 	Average Loss:  0.027034892122060877
Iteration:  21500 	s:6.2814 	Average Loss:  0.03701568785317875
Iteration:  21600 	s:5.8627 	Average Loss:  0.018992990565574006
Iteration:  21700 	s:5.6476 	Average Loss:  0.011573708497492978
Iteration:  21800 	s:6.3869 	Average Loss:  0.11967303811955773
Iteration:  21900 	s:6.4904 	Average Loss:  0.012391485046693785
Iteration:  22000 	s:6.3593 	Average Loss:  0.05830084119952732
Iteration:  22100 	s:6.4444 	Average Loss:  0.0573177106693735
Iteration:  22200 	s:6.8666 	Average Loss:  0.054734655580031794
Iteration:  22300 	s:6.2111 	Average Loss:  0.03927626169812964
Iteration:  22400 	s:6.3486 	Average Loss:  0.07811528345657649
Iteration:  22500 	s:6.2429 	Average Loss:  0.007096038694217394
Iteration:  22600 	s:6.5710 	Average Loss:  0.03658251853728171
Iteration:  22700 	s:6.1518 	Average Loss:  0.017633675289879597
Iteration:  22800 	s:6.2132 	Average Loss:  0.04764050081621995
Iteration:  22900 	s:6.1129 	Average Loss:  0.01127198700796712
Iteration:  23000 	s:6.4659 	Average Loss:  0.023945163539181635
Iteration:  23100 	s:6.4857 	Average Loss:  0.011187013410024286
Iteration:  23200 	s:6.2025 	Average Loss:  0.016298979916016698
Iteration:  23300 	s:6.1334 	Average Loss:  0.015624002899603705
Iteration:  23400 	s:5.7970 	Average Loss:  0.008136963850759064
Iteration:  23500 	s:6.1268 	Average Loss:  0.004132463990190889
Iteration:  23600 	s:6.4217 	Average Loss:  0.10369062286217293
Iteration:  23700 	s:6.9021 	Average Loss:  0.07549019108003475
Iteration:  23800 	s:7.0385 	Average Loss:  0.11238150979661007
Iteration:  23900 	s:6.7177 	Average Loss:  0.019382633419551806
Iteration:  24000 	s:6.8507 	Average Loss:  0.04259464251319991
Iteration:  24100 	s:6.7199 	Average Loss:  0.07222618698466472
Iteration:  24200 	s:6.1140 	Average Loss:  0.03021973500808163
Iteration:  24300 	s:6.3818 	Average Loss:  0.03531570941585941
Iteration:  24400 	s:6.1228 	Average Loss:  0.040752628132018465
Iteration:  24500 	s:6.3602 	Average Loss:  0.06962303033133635
Iteration:  24600 	s:6.2886 	Average Loss:  0.010844741265841984
Iteration:  24700 	s:6.6443 	Average Loss:  0.014338845558190342
Iteration:  24800 	s:6.1636 	Average Loss:  0.037533641116336246
Iteration:  24900 	s:6.2051 	Average Loss:  0.07433832654183564
Iteration:  25000 	s:6.2932 	Average Loss:  0.008596030291353952
Epoch time:  317.1215081214905
Epoch 6
Iteration:  25100 	s:6.1694 	Average Loss:  0.04832712198839662
Iteration:  25200 	s:6.4425 	Average Loss:  0.023884672771849188
Iteration:  25300 	s:6.2166 	Average Loss:  0.03016216379638757
Iteration:  25400 	s:6.3767 	Average Loss:  0.018438682389049905
Iteration:  25500 	s:5.7650 	Average Loss:  0.05595345992260055
Iteration:  25600 	s:5.8214 	Average Loss:  0.01016169366030284
Iteration:  25700 	s:6.0011 	Average Loss:  0.002942156042791355
Iteration:  25800 	s:5.8785 	Average Loss:  0.014617397335452927
Iteration:  25900 	s:5.7871 	Average Loss:  0.012986850032443532
Iteration:  26000 	s:5.9515 	Average Loss:  0.01069941846051841
Iteration:  26100 	s:5.7603 	Average Loss:  0.006333738134505369
Iteration:  26200 	s:5.7040 	Average Loss:  0.00409583130490395
Iteration:  26300 	s:5.9854 	Average Loss:  0.14190740626502715
Iteration:  26400 	s:6.2395 	Average Loss:  0.039824609192213985
Iteration:  26500 	s:6.3582 	Average Loss:  0.2199620664628932
Iteration:  26600 	s:6.3929 	Average Loss:  0.13163914701658874
Iteration:  26700 	s:6.1040 	Average Loss:  0.025439223679006025
Iteration:  26800 	s:6.4945 	Average Loss:  0.07510212178871101
Iteration:  26900 	s:6.3815 	Average Loss:  0.02125586636035223
Iteration:  27000 	s:6.5098 	Average Loss:  0.08641492885607112
Iteration:  27100 	s:6.8342 	Average Loss:  0.05156408113135287
Iteration:  27200 	s:6.7476 	Average Loss:  0.06568475376411795
Iteration:  27300 	s:6.1607 	Average Loss:  0.04641981838370279
Iteration:  27400 	s:6.8053 	Average Loss:  0.05856411920359423
Iteration:  27500 	s:6.3486 	Average Loss:  0.02234858054066331
Iteration:  27600 	s:6.4226 	Average Loss:  0.025723710603619034
Iteration:  27700 	s:6.0006 	Average Loss:  0.02737854639678458
Iteration:  27800 	s:5.9497 	Average Loss:  0.01428423465463008
Iteration:  27900 	s:5.8026 	Average Loss:  0.034088592801261246
Iteration:  28000 	s:6.4760 	Average Loss:  0.023901306012084005
Iteration:  28100 	s:6.0467 	Average Loss:  0.02339253173048845
Iteration:  28200 	s:6.2220 	Average Loss:  0.05950950200732723
Iteration:  28300 	s:6.4080 	Average Loss:  0.027785085224536675
Iteration:  28400 	s:6.0565 	Average Loss:  0.005334337081435958
Iteration:  28500 	s:6.0722 	Average Loss:  0.008376493122867599
Iteration:  28600 	s:6.0569 	Average Loss:  0.03816920467273682
