Caching ACs
Training  for 10 epoch(s)
Epoch 1
Iteration:  100 	s:471.9922 	Average Loss:  0.29987374681048096
Iteration:  200 	s:24.2141 	Average Loss:  0.3107737592048943
Iteration:  300 	s:29.6643 	Average Loss:  0.1431331181690075
Iteration:  400 	s:23.9693 	Average Loss:  0.14896402836122433
Iteration:  500 	s:24.6083 	Average Loss:  0.1163691403368648
Iteration:  600 	s:24.1605 	Average Loss:  0.05665149640000891
Iteration:  700 	s:24.0297 	Average Loss:  0.07502270670904125
Iteration:  800 	s:24.8556 	Average Loss:  0.04068161811004942
Iteration:  900 	s:24.2444 	Average Loss:  0.125946258423146
Iteration:  1000 	s:24.8195 	Average Loss:  0.1348909100144283
Iteration:  1100 	s:23.8468 	Average Loss:  0.15410680728913576
Iteration:  1200 	s:24.5930 	Average Loss:  0.10324420658142117
Iteration:  1300 	s:23.4866 	Average Loss:  0.014849853465122855
Iteration:  1400 	s:24.4591 	Average Loss:  0.17589648304409708
Iteration:  1500 	s:24.5009 	Average Loss:  0.02360471343186987
Iteration:  1600 	s:23.1250 	Average Loss:  0.06562308630190557
Iteration:  1700 	s:25.0532 	Average Loss:  0.17316842877919497
Iteration:  1800 	s:24.9752 	Average Loss:  0.09088584993245603
Iteration:  1900 	s:24.7823 	Average Loss:  0.06442235496013787
Iteration:  2000 	s:23.3324 	Average Loss:  0.025152649724926944
Iteration:  2100 	s:22.5204 	Average Loss:  0.06665559399643879
Iteration:  2200 	s:24.6612 	Average Loss:  0.08393838092136612
Iteration:  2300 	s:24.1983 	Average Loss:  0.06655825109624544
Iteration:  2400 	s:24.1495 	Average Loss:  0.04392036889791712
Iteration:  2500 	s:23.4232 	Average Loss:  0.04477005069955254
Iteration:  2600 	s:23.6443 	Average Loss:  0.06278012643571727
Iteration:  2700 	s:23.0183 	Average Loss:  0.022370188213003496
Iteration:  2800 	s:21.7343 	Average Loss:  0.009420090258471134
Iteration:  2900 	s:21.9022 	Average Loss:  0.0850923452000027
Iteration:  3000 	s:23.2097 	Average Loss:  0.17614527394678411
Iteration:  3100 	s:22.1465 	Average Loss:  0.03620746397163316
Iteration:  3200 	s:23.8512 	Average Loss:  0.16410323674081795
Iteration:  3300 	s:24.6732 	Average Loss:  0.08450381011669535
Iteration:  3400 	s:23.9266 	Average Loss:  0.03272502607577508
Iteration:  3500 	s:23.7555 	Average Loss:  0.040248211064945354
Iteration:  3600 	s:23.0596 	Average Loss:  0.02795724989381256
Iteration:  3700 	s:22.0872 	Average Loss:  0.011196119274216407
Iteration:  3800 	s:20.9469 	Average Loss:  0.06036560721243376
Iteration:  3900 	s:23.6223 	Average Loss:  0.059705537563850226
Iteration:  4000 	s:24.2756 	Average Loss:  0.03616115365325051
Iteration:  4100 	s:25.0702 	Average Loss:  0.032994702841304464
Iteration:  4200 	s:21.7367 	Average Loss:  0.0340897794698029
Iteration:  4300 	s:19.8227 	Average Loss:  0.02000885852276643
Iteration:  4400 	s:21.8137 	Average Loss:  0.02062935831249721
Iteration:  4500 	s:22.3074 	Average Loss:  0.08000147591322455
Iteration:  4600 	s:21.2982 	Average Loss:  0.05027589317607621
Iteration:  4700 	s:22.9590 	Average Loss:  0.08075622827605244
Iteration:  4800 	s:22.7666 	Average Loss:  0.02520087100481426
Iteration:  4900 	s:21.2112 	Average Loss:  0.0020470106131902453
Iteration:  5000 	s:21.6954 	Average Loss:  0.002635216604476973
Epoch time:  1624.3787550926208
Epoch 2
Iteration:  5100 	s:20.4851 	Average Loss:  0.01320150052369618
Iteration:  5200 	s:21.9811 	Average Loss:  0.039548839278342275
Iteration:  5300 	s:21.7348 	Average Loss:  0.10755871174385401
Iteration:  5400 	s:22.5568 	Average Loss:  0.008902366136927213
Iteration:  5500 	s:21.4002 	Average Loss:  0.005375240496634462
Iteration:  5600 	s:20.9420 	Average Loss:  0.024787281121206668
Iteration:  5700 	s:19.6320 	Average Loss:  0.03808865928510496
Iteration:  5800 	s:21.0273 	Average Loss:  0.03287462975983544
Iteration:  5900 	s:22.0380 	Average Loss:  0.046609143998959796
Iteration:  6000 	s:22.2736 	Average Loss:  0.006598271813011251
Iteration:  6100 	s:21.1404 	Average Loss:  0.05113575876599036
Iteration:  6200 	s:20.4616 	Average Loss:  0.022612052216588303
Iteration:  6300 	s:20.9758 	Average Loss:  0.02121138333060909
Iteration:  6400 	s:20.7834 	Average Loss:  0.01180245775138836
Iteration:  6500 	s:19.8922 	Average Loss:  0.0031858882954634636
Iteration:  6600 	s:19.2142 	Average Loss:  0.0010894343885899005
Iteration:  6700 	s:20.4896 	Average Loss:  0.11684065745661183
Iteration:  6800 	s:22.6606 	Average Loss:  0.05744751707712666
Iteration:  6900 	s:22.1990 	Average Loss:  0.018254714573298542
Iteration:  7000 	s:22.6686 	Average Loss:  0.019824365952991627
Iteration:  7100 	s:21.9189 	Average Loss:  0.03811536470156454
Iteration:  7200 	s:21.2052 	Average Loss:  0.039187435511570105
Iteration:  7300 	s:22.0246 	Average Loss:  0.009335364730995579
Iteration:  7400 	s:21.0194 	Average Loss:  0.03452192065865276
Iteration:  7500 	s:22.0752 	Average Loss:  0.024032011476867617
Iteration:  7600 	s:22.4062 	Average Loss:  0.03469110344051529
Iteration:  7700 	s:20.3866 	Average Loss:  0.011923232766034353
Iteration:  7800 	s:17.3946 	Average Loss:  0.0011702027128605863
Iteration:  7900 	s:16.5369 	Average Loss:  0.017728900173360252
Iteration:  8000 	s:19.7999 	Average Loss:  0.08471090524029436
Iteration:  8100 	s:21.1067 	Average Loss:  0.01977238873736326
Iteration:  8200 	s:22.2459 	Average Loss:  0.07311436232747912
Iteration:  8300 	s:22.0071 	Average Loss:  0.05039714234820145
Iteration:  8400 	s:22.3626 	Average Loss:  0.02353024686606318
Iteration:  8500 	s:21.5501 	Average Loss:  0.011332614280038343
Iteration:  8600 	s:22.3316 	Average Loss:  0.05079729231585215
Iteration:  8700 	s:21.0812 	Average Loss:  0.011706597296375713
Iteration:  8800 	s:20.0277 	Average Loss:  0.02693033911358821
Iteration:  8900 	s:20.3157 	Average Loss:  0.05334968895559847
Iteration:  9000 	s:22.9575 	Average Loss:  0.04299252328780675
Iteration:  9100 	s:20.8813 	Average Loss:  0.01041232314755412
Iteration:  9200 	s:20.1011 	Average Loss:  0.020187891424988145
Iteration:  9300 	s:19.3924 	Average Loss:  0.001788925233973746
Iteration:  9400 	s:18.1825 	Average Loss:  0.002651814091820661
Iteration:  9500 	s:19.7888 	Average Loss:  0.20831552465594186
Iteration:  9600 	s:20.2219 	Average Loss:  0.06590889985714168
Iteration:  9700 	s:21.9079 	Average Loss:  0.022467774628869393
Iteration:  9800 	s:21.2644 	Average Loss:  0.016798063201907104
Iteration:  9900 	s:21.5008 	Average Loss:  0.0028569802492823104
Iteration:  10000 	s:20.8802 	Average Loss:  0.0014328115345747605
Epoch time:  1049.4097218513489
Epoch 3
Iteration:  10100 	s:18.8782 	Average Loss:  0.0007309103592792266
Iteration:  10200 	s:20.1233 	Average Loss:  0.004062168832234949
Iteration:  10300 	s:18.8865 	Average Loss:  0.0422452277465293
Iteration:  10400 	s:19.9489 	Average Loss:  0.02018113923883712
Iteration:  10500 	s:19.7868 	Average Loss:  0.0018101213511301495
Iteration:  10600 	s:19.5258 	Average Loss:  0.037649213946066275
Iteration:  10700 	s:18.6858 	Average Loss:  0.004042950531061358
Iteration:  10800 	s:18.2878 	Average Loss:  0.0239752253635743
Iteration:  10900 	s:20.4355 	Average Loss:  0.04137066607071944
Iteration:  11000 	s:19.7459 	Average Loss:  0.0006679286518887739
Iteration:  11100 	s:19.8161 	Average Loss:  0.03437958893445193
Iteration:  11200 	s:18.5324 	Average Loss:  0.022340705998853218
Iteration:  11300 	s:18.3446 	Average Loss:  0.0005758417084857647
Iteration:  11400 	s:17.7784 	Average Loss:  0.03576489575785814
Iteration:  11500 	s:16.7017 	Average Loss:  0.00036777297092682737
