Caching ACs
Training  for 10 epoch(s)
Epoch 1
Iteration:  100 	s:8.2638 	Average Loss:  1.766572704911232
Iteration:  200 	s:7.6320 	Average Loss:  1.676884963363409
Iteration:  300 	s:7.6736 	Average Loss:  1.187765826357063
Iteration:  400 	s:7.6168 	Average Loss:  0.8187500500492979
Iteration:  500 	s:7.2876 	Average Loss:  0.5125553456745829
Iteration:  600 	s:7.2677 	Average Loss:  0.4866119148723101
Iteration:  700 	s:7.4206 	Average Loss:  0.47878505468965615
Iteration:  800 	s:7.3067 	Average Loss:  0.43714045701402854
Iteration:  900 	s:7.2532 	Average Loss:  0.35787200093382765
Iteration:  1000 	s:7.2343 	Average Loss:  0.3260457511384807
Iteration:  1100 	s:7.2535 	Average Loss:  0.3755835602857123
Iteration:  1200 	s:7.2818 	Average Loss:  0.3697313833146245
Iteration:  1300 	s:7.3884 	Average Loss:  0.3345076912000195
Iteration:  1400 	s:7.2082 	Average Loss:  0.3156979888324322
Iteration:  1500 	s:7.3737 	Average Loss:  0.3340242726473981
Iteration:  1600 	s:7.1697 	Average Loss:  0.19242887839717557
Iteration:  1700 	s:7.1126 	Average Loss:  0.2859743454063027
Iteration:  1800 	s:7.4912 	Average Loss:  0.3986977334337084
Iteration:  1900 	s:7.3787 	Average Loss:  0.26008088330564827
Iteration:  2000 	s:7.3049 	Average Loss:  0.3531316347472114
Iteration:  2100 	s:7.3999 	Average Loss:  0.3094902765326817
Iteration:  2200 	s:7.2279 	Average Loss:  0.33402256558885796
Iteration:  2300 	s:7.4535 	Average Loss:  0.2656437446000837
Iteration:  2400 	s:7.4757 	Average Loss:  0.3042469767821899
Iteration:  2500 	s:7.1480 	Average Loss:  0.11018189668794733
Iteration:  2600 	s:7.0629 	Average Loss:  0.2919241542725437
Iteration:  2700 	s:6.9228 	Average Loss:  0.15297272265034018
Iteration:  2800 	s:6.9464 	Average Loss:  0.23817126286152757
Iteration:  2900 	s:7.1089 	Average Loss:  0.2418916471576701
Iteration:  3000 	s:7.4963 	Average Loss:  0.27704800540524954
Iteration:  3100 	s:7.1323 	Average Loss:  0.1966687242791539
Iteration:  3200 	s:7.0771 	Average Loss:  0.3116127827640421
Iteration:  3300 	s:7.3137 	Average Loss:  0.22141450838083535
Iteration:  3400 	s:6.9823 	Average Loss:  0.20445712607429145
Iteration:  3500 	s:7.0484 	Average Loss:  0.21979632197630872
Iteration:  3600 	s:7.0774 	Average Loss:  0.19695237289088652
Iteration:  3700 	s:7.0513 	Average Loss:  0.349268463890031
Iteration:  3800 	s:7.0481 	Average Loss:  0.13112986227723816
Iteration:  3900 	s:7.1457 	Average Loss:  0.20930303032939
Iteration:  4000 	s:7.1001 	Average Loss:  0.328389401524326
Iteration:  4100 	s:7.0843 	Average Loss:  0.1885368081639385
Iteration:  4200 	s:6.9293 	Average Loss:  0.15130824707993862
Iteration:  4300 	s:6.8028 	Average Loss:  0.19204899418814697
Iteration:  4400 	s:6.9333 	Average Loss:  0.24199128497622813
Iteration:  4500 	s:7.3065 	Average Loss:  0.1959576975368703
Iteration:  4600 	s:7.0443 	Average Loss:  0.17247945972383558
Iteration:  4700 	s:6.9299 	Average Loss:  0.17803682664980142
Iteration:  4800 	s:7.1224 	Average Loss:  0.12751437662264062
Iteration:  4900 	s:6.9461 	Average Loss:  0.20732063510357102
Iteration:  5000 	s:6.7554 	Average Loss:  0.11702208819402156
Epoch time:  361.0698447227478
Epoch 2
Iteration:  5100 	s:6.6368 	Average Loss:  0.15778427686454047
Iteration:  5200 	s:6.8954 	Average Loss:  0.25233120825258326
Iteration:  5300 	s:6.9560 	Average Loss:  0.16873604143188595
Iteration:  5400 	s:6.8079 	Average Loss:  0.1260903680732962
Iteration:  5500 	s:6.6692 	Average Loss:  0.13526162691772858
Iteration:  5600 	s:6.4996 	Average Loss:  0.15956977426426255
Iteration:  5700 	s:6.6925 	Average Loss:  0.21070008316403585
Iteration:  5800 	s:6.6623 	Average Loss:  0.1062770400167949
Iteration:  5900 	s:6.5578 	Average Loss:  0.1160206026537411
Iteration:  6000 	s:6.5826 	Average Loss:  0.11632504825409853
Iteration:  6100 	s:6.6708 	Average Loss:  0.17073224929067718
Iteration:  6200 	s:6.7052 	Average Loss:  0.20910201969093506
Iteration:  6300 	s:6.9090 	Average Loss:  0.11392457700152007
Iteration:  6400 	s:6.7232 	Average Loss:  0.18995600317110486
Iteration:  6500 	s:7.2551 	Average Loss:  0.18749817578262903
Iteration:  6600 	s:6.9836 	Average Loss:  0.10403072047562328
Iteration:  6700 	s:6.7051 	Average Loss:  0.16744471134277053
Iteration:  6800 	s:7.0040 	Average Loss:  0.20113444643567138
Iteration:  6900 	s:6.8291 	Average Loss:  0.11174055130831573
Iteration:  7000 	s:6.8121 	Average Loss:  0.21836726421385863
Iteration:  7100 	s:6.9855 	Average Loss:  0.2394943094591833
Iteration:  7200 	s:6.9974 	Average Loss:  0.17008879153446405
Iteration:  7300 	s:6.8521 	Average Loss:  0.19822565031065167
Iteration:  7400 	s:7.0079 	Average Loss:  0.14235316116492874
Iteration:  7500 	s:6.8160 	Average Loss:  0.05729067667287574
Iteration:  7600 	s:6.6544 	Average Loss:  0.11800785049294955
Iteration:  7700 	s:6.1361 	Average Loss:  0.05562421523480232
Iteration:  7800 	s:6.1654 	Average Loss:  0.1115317533289345
Iteration:  7900 	s:6.8042 	Average Loss:  0.12219867958764485
Iteration:  8000 	s:6.8079 	Average Loss:  0.16655136954128527
Iteration:  8100 	s:6.4269 	Average Loss:  0.06046123425201635
Iteration:  8200 	s:6.4187 	Average Loss:  0.20782321678584356
Iteration:  8300 	s:6.8391 	Average Loss:  0.14333006880193608
Iteration:  8400 	s:6.4048 	Average Loss:  0.07958543693865579
Iteration:  8500 	s:6.8054 	Average Loss:  0.10564580435610896
Iteration:  8600 	s:6.8930 	Average Loss:  0.11793679545377685
Iteration:  8700 	s:6.7363 	Average Loss:  0.18738872724634295
Iteration:  8800 	s:6.5453 	Average Loss:  0.0921612715730161
Iteration:  8900 	s:6.5355 	Average Loss:  0.12936100383811808
Iteration:  9000 	s:6.7215 	Average Loss:  0.18619245059134282
Iteration:  9100 	s:6.4374 	Average Loss:  0.11963097471034995
Iteration:  9200 	s:6.4321 	Average Loss:  0.12448512252022571
Iteration:  9300 	s:6.6929 	Average Loss:  0.10267136208771793
Iteration:  9400 	s:6.8511 	Average Loss:  0.24165666582330458
Iteration:  9500 	s:7.1008 	Average Loss:  0.1131601591734794
Iteration:  9600 	s:6.8085 	Average Loss:  0.1502681509369651
Iteration:  9700 	s:6.4096 	Average Loss:  0.10263652116878579
Iteration:  9800 	s:6.2011 	Average Loss:  0.06220317852107676
Iteration:  9900 	s:6.5607 	Average Loss:  0.23266919609191367
Iteration:  10000 	s:6.6412 	Average Loss:  0.06294974132878961
Epoch time:  335.24357438087463
Epoch 3
Iteration:  10100 	s:6.4661 	Average Loss:  0.09205739784556805
Iteration:  10200 	s:6.4102 	Average Loss:  0.20757721539495871
Iteration:  10300 	s:6.2965 	Average Loss:  0.05969440037416862
Iteration:  10400 	s:6.1574 	Average Loss:  0.06747638229435514
Iteration:  10500 	s:6.1896 	Average Loss:  0.163273563923748
Iteration:  10600 	s:6.1703 	Average Loss:  0.10858292206852205
Iteration:  10700 	s:6.2732 	Average Loss:  0.1544305593915403
Iteration:  10800 	s:6.2188 	Average Loss:  0.025315969961886575
Iteration:  10900 	s:6.0244 	Average Loss:  0.07783954658510976
Iteration:  11000 	s:6.2768 	Average Loss:  0.11076092986772668
Iteration:  11100 	s:6.3748 	Average Loss:  0.11881347548435216
Iteration:  11200 	s:6.2046 	Average Loss:  0.1212864239863996
Iteration:  11300 	s:6.0224 	Average Loss:  0.09035215204055574
Iteration:  11400 	s:6.1032 	Average Loss:  0.07093882943773344
Iteration:  11500 	s:6.2466 	Average Loss:  0.13306964363693477
Iteration:  11600 	s:6.0093 	Average Loss:  0.029106496352880793
Iteration:  11700 	s:5.8795 	Average Loss:  0.12987565080084595
Iteration:  11800 	s:6.2887 	Average Loss:  0.1349651010269277
Iteration:  11900 	s:6.1196 	Average Loss:  0.08707328050318835
Iteration:  12000 	s:6.2903 	Average Loss:  0.1834412469189578
Iteration:  12100 	s:9.5007 	Average Loss:  0.08769001673137321
Iteration:  12200 	s:6.5551 	Average Loss:  0.1357742144277313
Iteration:  12300 	s:5.8440 	Average Loss:  0.07607157649366197
Iteration:  12400 	s:6.1097 	Average Loss:  0.0837347595253534
Iteration:  12500 	s:5.9545 	Average Loss:  0.032121273957525086
Iteration:  12600 	s:6.1575 	Average Loss:  0.09356546298116751
Iteration:  12700 	s:5.9983 	Average Loss:  0.044328924693226586
Iteration:  12800 	s:6.0185 	Average Loss:  0.08129210713652907
Iteration:  12900 	s:6.3335 	Average Loss:  0.10817223123968668
Iteration:  13000 	s:6.5720 	Average Loss:  0.11911189463814281
Iteration:  13100 	s:6.2104 	Average Loss:  0.05321943985303632
Iteration:  13200 	s:6.1936 	Average Loss:  0.18565741393998195
Iteration:  13300 	s:6.2977 	Average Loss:  0.14290728145099763
Iteration:  13400 	s:5.9784 	Average Loss:  0.09589147628332004
Iteration:  13500 	s:6.1163 	Average Loss:  0.11442723240664918
Iteration:  13600 	s:7.5731 	Average Loss:  0.05394129189569011
Iteration:  13700 	s:5.2791 	Average Loss:  0.14761457208453968
Iteration:  13800 	s:5.1566 	Average Loss:  0.044494100518419115
Iteration:  13900 	s:5.7058 	Average Loss:  0.04622673004970305
Iteration:  14000 	s:4.9922 	Average Loss:  0.13313419201907595
Iteration:  14100 	s:5.1304 	Average Loss:  0.10758589958443164
Iteration:  14200 	s:9.7553 	Average Loss:  0.09604533346382368
Iteration:  14300 	s:5.9278 	Average Loss:  0.07498497944349536
Iteration:  14400 	s:4.7634 	Average Loss:  0.17480938638675192
Iteration:  14500 	s:5.3032 	Average Loss:  0.06569786450919164
Iteration:  14600 	s:4.7600 	Average Loss:  0.05952924948527852
Iteration:  14700 	s:4.8362 	Average Loss:  0.024660286962085446
Iteration:  14800 	s:4.7733 	Average Loss:  0.05840587668261929
Iteration:  14900 	s:4.9800 	Average Loss:  0.12188328018473392
Iteration:  15000 	s:4.9038 	Average Loss:  0.026544386431557355
Epoch time:  303.685834646225
Epoch 4
Iteration:  15100 	s:4.6602 	Average Loss:  0.02478261241366331
Iteration:  15200 	s:4.7107 	Average Loss:  0.21810733270700894
Iteration:  15300 	s:4.8597 	Average Loss:  0.05546355352541238
Iteration:  15400 	s:12.6854 	Average Loss:  0.02409305210927969
Iteration:  15500 	s:5.2313 	Average Loss:  0.13359961998781267
Iteration:  15600 	s:4.8518 	Average Loss:  0.1047462422659607
Iteration:  15700 	s:4.9269 	Average Loss:  0.09471353894591619
Iteration:  15800 	s:4.8979 	Average Loss:  0.07793133977209209
Iteration:  15900 	s:4.7913 	Average Loss:  0.06867679604472601
Iteration:  16000 	s:4.8043 	Average Loss:  0.07355032147924279
Iteration:  16100 	s:4.7864 	Average Loss:  0.051292853870205796
Iteration:  16200 	s:4.8012 	Average Loss:  0.06892675558921173
Iteration:  16300 	s:4.8799 	Average Loss:  0.06555112224836608
Iteration:  16400 	s:4.6191 	Average Loss:  0.1629694887100232
Iteration:  16500 	s:4.9932 	Average Loss:  0.1559028593568877
Iteration:  16600 	s:4.8526 	Average Loss:  0.049129156768467706
Iteration:  16700 	s:4.7552 	Average Loss:  0.11078930461166628
Iteration:  16800 	s:5.0242 	Average Loss:  0.09849595632439247
Iteration:  16900 	s:4.8359 	Average Loss:  0.09303975625093329
Iteration:  17000 	s:5.0650 	Average Loss:  0.17056258131237498
Iteration:  17100 	s:4.8713 	Average Loss:  0.06954875281628625
Iteration:  17200 	s:5.0560 	Average Loss:  0.10452131495954511
Iteration:  17300 	s:5.0185 	Average Loss:  0.16609347277719022
Iteration:  17400 	s:5.1515 	Average Loss:  0.09940168978558737
Iteration:  17500 	s:4.8817 	Average Loss:  0.040153310972443235
Iteration:  17600 	s:4.9918 	Average Loss:  0.058521446278649414
Iteration:  17700 	s:4.5571 	Average Loss:  0.05250927292575789
Iteration:  17800 	s:4.8213 	Average Loss:  0.05248132707418367
Iteration:  17900 	s:4.8772 	Average Loss:  0.04925529749004811
Iteration:  18000 	s:4.9803 	Average Loss:  0.09049406760286033
Iteration:  18100 	s:4.7739 	Average Loss:  0.0411390812169768
Iteration:  18200 	s:4.8161 	Average Loss:  0.12489426431521465
Iteration:  18300 	s:5.0034 	Average Loss:  0.0336672639465322
Iteration:  18400 	s:4.5468 	Average Loss:  0.07286738410920111
Iteration:  18500 	s:4.7767 	Average Loss:  0.06678941880130983
Iteration:  18600 	s:4.7051 	Average Loss:  0.07287940879732904
Iteration:  18700 	s:4.8554 	Average Loss:  0.11390173280487986
Iteration:  18800 	s:4.7791 	Average Loss:  0.037651695971745155
Iteration:  18900 	s:4.8081 	Average Loss:  0.11185323674047509
Iteration:  19000 	s:5.0634 	Average Loss:  0.09471359445592147
Iteration:  19100 	s:4.8804 	Average Loss:  0.03414680861699075
Iteration:  19200 	s:4.7703 	Average Loss:  0.04464006193087577
Iteration:  19300 	s:4.7925 	Average Loss:  0.020092058921089118
Iteration:  19400 	s:4.7769 	Average Loss:  0.1501645900764577
Iteration:  19500 	s:4.9772 	Average Loss:  0.06000838822449281
Iteration:  19600 	s:4.9509 	Average Loss:  0.14893984543069713
Iteration:  19700 	s:4.8357 	Average Loss:  0.020601350701188733
Iteration:  19800 	s:4.7762 	Average Loss:  0.014350419481854918
Iteration:  19900 	s:4.8275 	Average Loss:  0.10414821246665085
Iteration:  20000 	s:4.7991 	Average Loss:  0.01546157892823084
Epoch time:  250.73796105384827
Epoch 5
Iteration:  20100 	s:4.8257 	Average Loss:  0.02564379791950861
Iteration:  20200 	s:4.7433 	Average Loss:  0.1924111867432321
Iteration:  20300 	s:4.8086 	Average Loss:  0.01605462728984203
Iteration:  20400 	s:4.6918 	Average Loss:  0.006625172968591482
Iteration:  20500 	s:4.4495 	Average Loss:  0.027297782063889588
Iteration:  20600 	s:4.3509 	Average Loss:  0.006321996981147526
Iteration:  20700 	s:4.5082 	Average Loss:  0.06484418663393592
Iteration:  20800 	s:4.6595 	Average Loss:  0.029851650928626672
Iteration:  20900 	s:4.6586 	Average Loss:  0.045596799601074725
Iteration:  21000 	s:4.8922 	Average Loss:  0.1934134206935208
Iteration:  21100 	s:5.1451 	Average Loss:  0.05923336693240854
Iteration:  21200 	s:4.9138 	Average Loss:  0.057054166696147685
Iteration:  21300 	s:4.9104 	Average Loss:  0.06281335320271436
Iteration:  21400 	s:4.8464 	Average Loss:  0.06974969006559756
Iteration:  21500 	s:4.8737 	Average Loss:  0.17854830634915228
Iteration:  21600 	s:4.5521 	Average Loss:  0.027307296537581845
Iteration:  21700 	s:4.8195 	Average Loss:  0.0249791556787232
Iteration:  21800 	s:5.2012 	Average Loss:  0.14546566131646205
Iteration:  21900 	s:5.4508 	Average Loss:  0.24796879586035633
Iteration:  22000 	s:4.9724 	Average Loss:  0.184081084096668
Iteration:  22100 	s:4.9839 	Average Loss:  0.09353240724456714
Iteration:  22200 	s:5.2085 	Average Loss:  0.24703521699575504
Iteration:  22300 	s:5.0467 	Average Loss:  0.11495822306379949
Iteration:  22400 	s:5.0354 	Average Loss:  0.06264078574339137
Iteration:  22500 	s:4.6334 	Average Loss:  0.005184639947868961
Iteration:  22600 	s:5.0130 	Average Loss:  0.09145144070526562
Iteration:  22700 	s:8.6347 	Average Loss:  0.026409900494754782
Iteration:  22800 	s:5.0992 	Average Loss:  0.04472086600829723
Iteration:  22900 	s:4.8811 	Average Loss:  0.04147685248801153
Iteration:  23000 	s:5.2895 	Average Loss:  0.05202886050446986
Iteration:  23100 	s:4.7121 	Average Loss:  0.029816540350875016
Iteration:  23200 	s:4.7744 	Average Loss:  0.06264763252752044
Iteration:  23300 	s:4.7574 	Average Loss:  0.04628571595234852
Iteration:  23400 	s:4.5306 	Average Loss:  0.009757412640130223
Iteration:  23500 	s:4.3801 	Average Loss:  0.04795420594720763
Iteration:  23600 	s:4.6716 	Average Loss:  0.1343681453251985
Iteration:  23700 	s:4.9133 	Average Loss:  0.16177001107176686
Iteration:  23800 	s:4.8429 	Average Loss:  0.029056520312627974
Iteration:  23900 	s:4.7329 	Average Loss:  0.05029966882675238
Iteration:  24000 	s:4.8542 	Average Loss:  0.06317451947418623
Iteration:  24100 	s:4.6077 	Average Loss:  0.050474663232376205
Iteration:  24200 	s:4.5841 	Average Loss:  0.04445202927695946
Iteration:  24300 	s:4.7091 	Average Loss:  0.04722727372109122
Iteration:  24400 	s:4.5872 	Average Loss:  0.03278536569702818
Iteration:  24500 	s:4.8934 	Average Loss:  0.059017959217842565
Iteration:  24600 	s:4.8149 	Average Loss:  0.11491745004079991
Iteration:  24700 	s:4.9012 	Average Loss:  0.025526360709689486
Iteration:  24800 	s:4.8234 	Average Loss:  0.05647129688522155
Iteration:  24900 	s:4.7690 	Average Loss:  0.10204879752439877
Iteration:  25000 	s:4.6568 	Average Loss:  0.012762708803323157
Epoch time:  244.619797706604
Epoch 6
Iteration:  25100 	s:4.8537 	Average Loss:  0.034244292341330584
Iteration:  25200 	s:9.1501 	Average Loss:  0.15505459053784654
Iteration:  25300 	s:5.3250 	Average Loss:  0.04430832354522909
Iteration:  25400 	s:5.6350 	Average Loss:  0.022514800603300175
Iteration:  25500 	s:5.3539 	Average Loss:  0.03210296729895162
Iteration:  25600 	s:5.2737 	Average Loss:  0.08962662286916537
Iteration:  25700 	s:5.4429 	Average Loss:  0.06429887610193732
Iteration:  25800 	s:5.5067 	Average Loss:  0.045465032627349994
Iteration:  25900 	s:5.1979 	Average Loss:  0.02357227279203623
Iteration:  26000 	s:5.2039 	Average Loss:  0.047200097017027653
Iteration:  26100 	s:5.0873 	Average Loss:  0.10123859020969192
Iteration:  26200 	s:4.7484 	Average Loss:  0.05321851603476956
Iteration:  26300 	s:6.5765 	Average Loss:  0.04104508385044081
Iteration:  26400 	s:4.8214 	Average Loss:  0.21366440043705354
Iteration:  26500 	s:4.8862 	Average Loss:  0.16730377762935789
Iteration:  26600 	s:4.9164 	Average Loss:  0.06486721867337371
Iteration:  26700 	s:4.6535 	Average Loss:  0.04710007404042882
Iteration:  26800 	s:4.7738 	Average Loss:  0.05527042517955672
Iteration:  26900 	s:4.8361 	Average Loss:  0.07073028470533996
Iteration:  27000 	s:4.7627 	Average Loss:  0.14156695915323564
Iteration:  27100 	s:4.8330 	Average Loss:  0.06138711189948696
Iteration:  27200 	s:4.8405 	Average Loss:  0.11668201531976365
Iteration:  27300 	s:4.8677 	Average Loss:  0.10528934152554976
Iteration:  27400 	s:4.9256 	Average Loss:  0.09111467459788263
Iteration:  27500 	s:4.7489 	Average Loss:  0.08685226868679571
Iteration:  27600 	s:5.1102 	Average Loss:  0.08537691980507375
Iteration:  27700 	s:4.7887 	Average Loss:  0.00937263576333132
Iteration:  27800 	s:4.6603 	Average Loss:  0.007699859383742691
Iteration:  27900 	s:4.6445 	Average Loss:  0.019021953758603775
Iteration:  28000 	s:4.6458 	Average Loss:  0.06510812564727725
Iteration:  28100 	s:4.5429 	Average Loss:  0.04725274792255178
Iteration:  28200 	s:4.6331 	Average Loss:  0.063926578344282
Iteration:  28300 	s:4.5520 	Average Loss:  0.0189701636157659
Iteration:  28400 	s:4.3561 	Average Loss:  0.005287771960511422
Iteration:  28500 	s:4.2742 	Average Loss:  0.01822515373534545
Iteration:  28600 	s:4.4180 	Average Loss:  0.09198649381788104
Iteration:  28700 	s:4.6389 	Average Loss:  0.11647563488401755
Iteration:  28800 	s:4.3536 	Average Loss:  0.022994597886644562
Iteration:  28900 	s:4.4002 	Average Loss:  0.03932831331130892
Iteration:  29000 	s:4.4909 	Average Loss:  0.06187429976275757
Iteration:  29100 	s:4.5868 	Average Loss:  0.10799386494019164
Iteration:  29200 	s:4.4553 	Average Loss:  0.045518503619501695
