Caching ACs
Training  for 10 epoch(s)
Epoch 1
Iteration:  100 	s:11.7593 	Average Loss:  3.284886932373047
Iteration:  200 	s:10.3367 	Average Loss:  2.9525529880367687
Iteration:  300 	s:9.8318 	Average Loss:  1.7368879959637251
Iteration:  400 	s:8.5126 	Average Loss:  0.9797848971817619
Iteration:  500 	s:8.1986 	Average Loss:  0.6373948492815791
Iteration:  600 	s:8.3367 	Average Loss:  0.5347528744542523
Iteration:  700 	s:8.8482 	Average Loss:  0.5159229695485023
Iteration:  800 	s:6.8084 	Average Loss:  0.4959887545018997
Iteration:  900 	s:9.0313 	Average Loss:  0.49951474380057337
Iteration:  1000 	s:8.1536 	Average Loss:  0.44671416703550904
Iteration:  1100 	s:9.1187 	Average Loss:  0.4097573867796696
Iteration:  1200 	s:7.8533 	Average Loss:  0.3608358208080426
Iteration:  1300 	s:29.5001 	Average Loss:  0.36921437601067125
Iteration:  1400 	s:49.8946 	Average Loss:  0.40866478138653206
Iteration:  1500 	s:49.0967 	Average Loss:  0.423576711740634
Iteration:  1600 	s:50.4063 	Average Loss:  0.17671128533636374
Iteration:  1700 	s:51.7302 	Average Loss:  0.3414828657138601
Iteration:  1800 	s:50.5423 	Average Loss:  0.49415342026861253
Iteration:  1900 	s:51.1307 	Average Loss:  0.2930691670657467
Iteration:  2000 	s:51.2016 	Average Loss:  0.376474002351847
Iteration:  2100 	s:52.0829 	Average Loss:  0.32998611449115517
Iteration:  2200 	s:52.8730 	Average Loss:  0.3905062459487931
Iteration:  2300 	s:53.3289 	Average Loss:  0.3363372316268138
Iteration:  2400 	s:51.0580 	Average Loss:  0.33632021117843125
Iteration:  2500 	s:50.4201 	Average Loss:  0.18903110365432382
Iteration:  2600 	s:47.0260 	Average Loss:  0.24699862760932123
Iteration:  2700 	s:48.5113 	Average Loss:  0.1471661060623557
Iteration:  2800 	s:49.3599 	Average Loss:  0.2921308601421634
Iteration:  2900 	s:40.8775 	Average Loss:  0.29273668482187476
Iteration:  3000 	s:6.5059 	Average Loss:  0.2823641729144368
Iteration:  3100 	s:7.7167 	Average Loss:  0.25338441315370663
Iteration:  3200 	s:10.7869 	Average Loss:  0.33901057276523194
Iteration:  3300 	s:9.2908 	Average Loss:  0.23654317946308537
Iteration:  3400 	s:9.1447 	Average Loss:  0.1821261344870734
Iteration:  3500 	s:11.8501 	Average Loss:  0.24127058644439106
Iteration:  3600 	s:20.5090 	Average Loss:  0.27892162142196214
Iteration:  3700 	s:7.8023 	Average Loss:  0.29825151598477734
Iteration:  3800 	s:7.0430 	Average Loss:  0.2702617910210821
Iteration:  3900 	s:8.3812 	Average Loss:  0.3214580874206827
Iteration:  4000 	s:7.0901 	Average Loss:  0.3323858383398056
Iteration:  4100 	s:6.5124 	Average Loss:  0.14343611436079529
Iteration:  4200 	s:7.2945 	Average Loss:  0.2185227107485589
Iteration:  4300 	s:6.2176 	Average Loss:  0.2324492843401015
Iteration:  4400 	s:7.2099 	Average Loss:  0.27564333834885757
Iteration:  4500 	s:6.4551 	Average Loss:  0.26799050247994727
Iteration:  4600 	s:7.2805 	Average Loss:  0.18706322108473794
Iteration:  4700 	s:8.1735 	Average Loss:  0.11997929945839918
Iteration:  4800 	s:8.4752 	Average Loss:  0.21001839645611725
Iteration:  4900 	s:7.5457 	Average Loss:  0.24130013178091214
Iteration:  5000 	s:8.4765 	Average Loss:  0.12468674937731691
Epoch time:  1115.6869633197784
Epoch 2
Iteration:  5100 	s:8.8115 	Average Loss:  0.18030587367675474
Iteration:  5200 	s:8.9328 	Average Loss:  0.35157159697039403
Iteration:  5300 	s:8.2992 	Average Loss:  0.17288592631206437
Iteration:  5400 	s:10.9813 	Average Loss:  0.21163163357150516
Iteration:  5500 	s:9.4838 	Average Loss:  0.10751828296489568
Iteration:  5600 	s:7.4436 	Average Loss:  0.1987648479369142
Iteration:  5700 	s:8.3660 	Average Loss:  0.30558770129427887
Iteration:  5800 	s:8.0455 	Average Loss:  0.19152277423247732
Iteration:  5900 	s:8.2164 	Average Loss:  0.1545000894316588
Iteration:  6000 	s:7.8064 	Average Loss:  0.16165803084434407
Iteration:  6100 	s:7.5479 	Average Loss:  0.12435984050785176
Iteration:  6200 	s:8.2782 	Average Loss:  0.13258545634719668
Iteration:  6300 	s:11.3305 	Average Loss:  0.1182772166827809
Iteration:  6400 	s:9.5062 	Average Loss:  0.1645552413055425
Iteration:  6500 	s:8.8266 	Average Loss:  0.2499895880897461
Iteration:  6600 	s:9.1821 	Average Loss:  0.11180941156621295
Iteration:  6700 	s:7.4817 	Average Loss:  0.17435596941461187
Iteration:  6800 	s:7.6825 	Average Loss:  0.22863757892771397
Iteration:  6900 	s:8.2171 	Average Loss:  0.11785986271350594
Iteration:  7000 	s:8.4367 	Average Loss:  0.2489460934096238
Iteration:  7100 	s:8.7438 	Average Loss:  0.20303981747541577
Iteration:  7200 	s:9.8879 	Average Loss:  0.2352802384958075
Iteration:  7300 	s:10.4278 	Average Loss:  0.1859138118355355
Iteration:  7400 	s:8.1087 	Average Loss:  0.16218512565374937
Iteration:  7500 	s:8.2339 	Average Loss:  0.12282454960815783
Iteration:  7600 	s:7.5782 	Average Loss:  0.14307719051984275
Iteration:  7700 	s:7.2299 	Average Loss:  0.04341311737426059
