Caching ACs
Training  for 10 epoch(s)
Epoch 1
Iteration:  100 	s:8.0841 	Average Loss:  3.238717492222786
Iteration:  200 	s:6.7830 	Average Loss:  2.474060383636606
Iteration:  300 	s:6.3823 	Average Loss:  1.3517855976775173
Iteration:  400 	s:6.4737 	Average Loss:  0.9254671910316574
Iteration:  500 	s:6.3719 	Average Loss:  0.47727116521904916
Iteration:  600 	s:6.5144 	Average Loss:  0.5388643537172993
Iteration:  700 	s:6.6282 	Average Loss:  0.5010903147398631
Iteration:  800 	s:6.2860 	Average Loss:  0.3890679599367422
Iteration:  900 	s:6.1363 	Average Loss:  0.4658796282471599
Iteration:  1000 	s:6.2790 	Average Loss:  0.41066996126931216
Iteration:  1100 	s:6.2388 	Average Loss:  0.423424616799382
Iteration:  1200 	s:6.2557 	Average Loss:  0.39913827362454823
Iteration:  1300 	s:6.3420 	Average Loss:  0.3732721879731162
Iteration:  1400 	s:5.9570 	Average Loss:  0.2750093057620038
Iteration:  1500 	s:6.1934 	Average Loss:  0.373342405810245
Iteration:  1600 	s:6.2522 	Average Loss:  0.22347025982058766
Iteration:  1700 	s:6.0678 	Average Loss:  0.2744549252129309
Iteration:  1800 	s:6.2321 	Average Loss:  0.43791177299403444
Iteration:  1900 	s:6.5477 	Average Loss:  0.3501825223866672
Iteration:  2000 	s:6.2161 	Average Loss:  0.38608086378772666
Iteration:  2100 	s:6.1381 	Average Loss:  0.3162636811991174
Iteration:  2200 	s:14.1537 	Average Loss:  0.3804003795630247
Iteration:  2300 	s:5.4972 	Average Loss:  0.3800367118215884
Iteration:  2400 	s:5.2312 	Average Loss:  0.28620566868654806
Iteration:  2500 	s:5.0180 	Average Loss:  0.1552996295489223
Iteration:  2600 	s:4.9816 	Average Loss:  0.25155431986742777
Iteration:  2700 	s:4.9081 	Average Loss:  0.293329401416374
Iteration:  2800 	s:5.0406 	Average Loss:  0.2445439231998798
Iteration:  2900 	s:5.1081 	Average Loss:  0.2233376364551582
Iteration:  3000 	s:5.1609 	Average Loss:  0.26920623659295584
Iteration:  3100 	s:4.8766 	Average Loss:  0.15953534750953008
Iteration:  3200 	s:5.0756 	Average Loss:  0.25523116835680504
Iteration:  3300 	s:5.2221 	Average Loss:  0.23874206706395693
