Caching ACs
Training  for 10 epoch(s)
Epoch 1
Iteration:  100 	s:6.2471 	Average Loss:  0.4661807858198881
Iteration:  200 	s:6.3210 	Average Loss:  0.2525172559614293
Iteration:  300 	s:6.3849 	Average Loss:  0.2840091926351306
Iteration:  400 	s:6.4620 	Average Loss:  0.2600735340185929
Iteration:  500 	s:6.4733 	Average Loss:  0.13912278486579993
Iteration:  600 	s:6.3442 	Average Loss:  0.15215399197541046
Iteration:  700 	s:6.9395 	Average Loss:  0.16040998090766606
Iteration:  800 	s:6.6633 	Average Loss:  0.1276520084006552
Iteration:  900 	s:5.9806 	Average Loss:  0.09003913190704772
Iteration:  1000 	s:6.1560 	Average Loss:  0.09329133613348532
Iteration:  1100 	s:6.8639 	Average Loss:  0.1078505412247705
Iteration:  1200 	s:7.2918 	Average Loss:  0.17150752007637493
Iteration:  1300 	s:6.4000 	Average Loss:  0.10762215018404732
Iteration:  1400 	s:7.2348 	Average Loss:  0.20820564965278662
Iteration:  1500 	s:7.2644 	Average Loss:  0.07451864935114372
Iteration:  1600 	s:6.3670 	Average Loss:  0.06264306180228918
Iteration:  1700 	s:6.7749 	Average Loss:  0.11047801799793888
Iteration:  1800 	s:6.0232 	Average Loss:  0.18513106642102684
Iteration:  1900 	s:6.6659 	Average Loss:  0.07405939208068958
Iteration:  2000 	s:7.3200 	Average Loss:  0.12105705547745402
Iteration:  2100 	s:7.2647 	Average Loss:  0.15029224407919173
Iteration:  2200 	s:6.2734 	Average Loss:  0.054850002167079026
Iteration:  2300 	s:6.0717 	Average Loss:  0.10832294190669586
Iteration:  2400 	s:7.1136 	Average Loss:  0.10847117470412286
Iteration:  2500 	s:6.4462 	Average Loss:  0.05360276022463566
Iteration:  2600 	s:6.6543 	Average Loss:  0.1058891866210297
Iteration:  2700 	s:6.2442 	Average Loss:  0.08259797547113415
Iteration:  2800 	s:7.0273 	Average Loss:  0.09107529671057364
Iteration:  2900 	s:7.0830 	Average Loss:  0.12933765900539584
Iteration:  3000 	s:7.5040 	Average Loss:  0.06383179872684337
Iteration:  3100 	s:8.2454 	Average Loss:  0.02619937361376067
Iteration:  3200 	s:7.2154 	Average Loss:  0.08513461188914259
Iteration:  3300 	s:8.2023 	Average Loss:  0.10030124992910736
Iteration:  3400 	s:6.9846 	Average Loss:  0.06194788285841696
Iteration:  3500 	s:6.3015 	Average Loss:  0.02350986981790129
Iteration:  3600 	s:6.9903 	Average Loss:  0.10746208224166473
Iteration:  3700 	s:7.3214 	Average Loss:  0.12207749860800397
Iteration:  3800 	s:6.8999 	Average Loss:  0.09823779378643764
Iteration:  3900 	s:7.4935 	Average Loss:  0.024599017713856027
Iteration:  4000 	s:7.0795 	Average Loss:  0.10878128799549472
Iteration:  4100 	s:7.1539 	Average Loss:  0.01509103225001155
Iteration:  4200 	s:8.3052 	Average Loss:  0.09335954763821178
Iteration:  4300 	s:7.3429 	Average Loss:  0.07200745009119837
Iteration:  4400 	s:7.8004 	Average Loss:  0.07975793302164674
Iteration:  4500 	s:6.9948 	Average Loss:  0.06772205935261073
Iteration:  4600 	s:7.2556 	Average Loss:  0.035243025980572114
Iteration:  4700 	s:7.0753 	Average Loss:  0.08079393856375634
Iteration:  4800 	s:7.1418 	Average Loss:  0.035668367459024033
Iteration:  4900 	s:7.3400 	Average Loss:  0.0076973750606043724
Iteration:  5000 	s:6.7011 	Average Loss:  0.03793979069024491
Epoch time:  345.7598717212677
Epoch 2
Iteration:  5100 	s:7.2165 	Average Loss:  0.010415909339238718
Iteration:  5200 	s:8.2154 	Average Loss:  0.13422723494152686
Iteration:  5300 	s:7.6991 	Average Loss:  0.09839699732975532
Iteration:  5400 	s:6.8958 	Average Loss:  0.06212483702784084
Iteration:  5500 	s:7.2915 	Average Loss:  0.055063266710230895
Iteration:  5600 	s:6.7252 	Average Loss:  0.061339564252348044
Iteration:  5700 	s:6.3544 	Average Loss:  0.08886958954769231
Iteration:  5800 	s:6.3929 	Average Loss:  0.02871587476811044
Iteration:  5900 	s:7.2765 	Average Loss:  0.04714879436686715
Iteration:  6000 	s:8.0318 	Average Loss:  0.03680580538123657
Iteration:  6100 	s:5.9772 	Average Loss:  0.06322235450443486
Iteration:  6200 	s:5.9312 	Average Loss:  0.06837548268676194
Iteration:  6300 	s:5.8884 	Average Loss:  0.04791107089002969
Iteration:  6400 	s:6.5589 	Average Loss:  0.08867591764936193
Iteration:  6500 	s:6.6837 	Average Loss:  0.043446499918138926
Iteration:  6600 	s:7.3523 	Average Loss:  0.03944608471226123
Iteration:  6700 	s:7.0238 	Average Loss:  0.052021464615854496
Iteration:  6800 	s:5.8317 	Average Loss:  0.10640618707786892
Iteration:  6900 	s:6.8524 	Average Loss:  0.05988366153948431
Iteration:  7000 	s:6.9939 	Average Loss:  0.04826020666852848
Iteration:  7100 	s:6.7659 	Average Loss:  0.05916202174330795
Iteration:  7200 	s:6.5228 	Average Loss:  0.012535181320266186
Iteration:  7300 	s:6.2623 	Average Loss:  0.06562908659803711
Iteration:  7400 	s:6.5347 	Average Loss:  0.03173613686879933
Iteration:  7500 	s:6.7677 	Average Loss:  0.057165761455423965
Iteration:  7600 	s:6.6079 	Average Loss:  0.03949507788890444
Iteration:  7700 	s:6.5102 	Average Loss:  0.032996930257728124
Iteration:  7800 	s:5.8886 	Average Loss:  0.08603233883524129
Iteration:  7900 	s:8.4430 	Average Loss:  0.06875402329433805
Iteration:  8000 	s:6.5741 	Average Loss:  0.07554152004832124
Iteration:  8100 	s:6.5606 	Average Loss:  0.011380949651744032
Iteration:  8200 	s:6.3171 	Average Loss:  0.05913646948177772
Iteration:  8300 	s:6.9595 	Average Loss:  0.051032608184523556
Iteration:  8400 	s:7.2354 	Average Loss:  0.02349817295923339
Iteration:  8500 	s:6.2409 	Average Loss:  0.004150750720668528
Iteration:  8600 	s:6.5433 	Average Loss:  0.06868999194516533
Iteration:  8700 	s:6.4434 	Average Loss:  0.08386079840094338
Iteration:  8800 	s:6.0327 	Average Loss:  0.05491753431066585
Iteration:  8900 	s:6.5572 	Average Loss:  0.008489110372707725
Iteration:  9000 	s:6.1512 	Average Loss:  0.12153895757689206
Iteration:  9100 	s:6.8480 	Average Loss:  0.02188641559890436
Iteration:  9200 	s:6.2126 	Average Loss:  0.0642068770332164
Iteration:  9300 	s:6.1377 	Average Loss:  0.0865218241293034
Iteration:  9400 	s:5.8599 	Average Loss:  0.0419941550346681
Iteration:  9500 	s:6.5767 	Average Loss:  0.04370879612317404
Iteration:  9600 	s:7.3798 	Average Loss:  0.01705417868130187
Iteration:  9700 	s:6.2511 	Average Loss:  0.08037212788967064
Iteration:  9800 	s:6.3954 	Average Loss:  0.024128338689567076
Iteration:  9900 	s:6.8294 	Average Loss:  0.020496972456623085
Iteration:  10000 	s:6.0712 	Average Loss:  0.016349909451107588
Epoch time:  333.67041850090027
Epoch 3
Iteration:  10100 	s:6.2538 	Average Loss:  0.00798022814530758
Iteration:  10200 	s:6.0999 	Average Loss:  0.0795490119237693
Iteration:  10300 	s:5.9641 	Average Loss:  0.055607133266567035
Iteration:  10400 	s:6.1560 	Average Loss:  0.03256160676049461
Iteration:  10500 	s:5.9649 	Average Loss:  0.04115133590296331
Iteration:  10600 	s:7.7517 	Average Loss:  0.04126219560024097
Iteration:  10700 	s:6.7354 	Average Loss:  0.04801760543958622
Iteration:  10800 	s:6.2437 	Average Loss:  0.02509010061553866
Iteration:  10900 	s:6.3227 	Average Loss:  0.026254671776586774
Iteration:  11000 	s:6.0096 	Average Loss:  0.025758600501458596
Iteration:  11100 	s:6.4680 	Average Loss:  0.05449120045758924
Iteration:  11200 	s:6.1433 	Average Loss:  0.04406444936659338
Iteration:  11300 	s:6.2209 	Average Loss:  0.024449480590999384
Iteration:  11400 	s:7.2187 	Average Loss:  0.0339241593296123
Iteration:  11500 	s:6.4791 	Average Loss:  0.002985435930852551
Iteration:  11600 	s:5.9614 	Average Loss:  0.009048640096672153
Iteration:  11700 	s:5.9567 	Average Loss:  0.10762514582631098
Iteration:  11800 	s:5.8174 	Average Loss:  0.0981522681409271
Iteration:  11900 	s:6.3749 	Average Loss:  0.018969162956768253
Iteration:  12000 	s:5.9751 	Average Loss:  0.03503399558707006
Iteration:  12100 	s:6.4170 	Average Loss:  0.05270549660636103
Iteration:  12200 	s:7.3928 	Average Loss:  0.01768047764786699
Iteration:  12300 	s:7.4053 	Average Loss:  0.03290175381066292
Iteration:  12400 	s:6.1776 	Average Loss:  0.021615495323906594
Iteration:  12500 	s:5.7259 	Average Loss:  0.009513351400700483
Iteration:  12600 	s:6.2334 	Average Loss:  0.02060934289557797
Iteration:  12700 	s:6.6601 	Average Loss:  0.00387762519028886
Iteration:  12800 	s:5.6287 	Average Loss:  0.10955432575590617
Iteration:  12900 	s:6.5235 	Average Loss:  0.020351500527056362
Iteration:  13000 	s:8.1812 	Average Loss:  0.03815819345853797
Iteration:  13100 	s:5.9517 	Average Loss:  0.0028445605653189075
Iteration:  13200 	s:5.6263 	Average Loss:  0.005340607272838831
Iteration:  13300 	s:6.0169 	Average Loss:  0.08806119834994529
Iteration:  13400 	s:8.1239 	Average Loss:  0.032214493125290324
Iteration:  13500 	s:5.7669 	Average Loss:  0.004433111236576561
Iteration:  13600 	s:6.6369 	Average Loss:  0.02393893727482477
Iteration:  13700 	s:6.5653 	Average Loss:  0.2012796417121462
Iteration:  13800 	s:6.3112 	Average Loss:  0.022036274967837884
Iteration:  13900 	s:6.4948 	Average Loss:  0.02519332016968292
Iteration:  14000 	s:6.2904 	Average Loss:  0.060842429326960996
Iteration:  14100 	s:6.4450 	Average Loss:  0.013252117957488823
Iteration:  14200 	s:5.9875 	Average Loss:  0.07398234758252492
Iteration:  14300 	s:5.8671 	Average Loss:  0.09507139682893641
Iteration:  14400 	s:5.6799 	Average Loss:  0.0109079726819152
Iteration:  14500 	s:6.7039 	Average Loss:  0.007876416392115787
Iteration:  14600 	s:6.3328 	Average Loss:  0.012558597797416048
Iteration:  14700 	s:5.4782 	Average Loss:  0.04635851761519845
Iteration:  14800 	s:5.5273 	Average Loss:  0.021295265981883364
Iteration:  14900 	s:6.3561 	Average Loss:  0.0003599451161512057
Iteration:  15000 	s:6.3883 	Average Loss:  0.057063665223806695
Epoch time:  317.0121247768402
Epoch 4
Iteration:  15100 	s:6.1882 	Average Loss:  0.0008441842027825875
Iteration:  15200 	s:6.9253 	Average Loss:  0.058830856623419754
Iteration:  15300 	s:7.5737 	Average Loss:  0.08668577166966246
Iteration:  15400 	s:6.1094 	Average Loss:  0.04910877979271231
Iteration:  15500 	s:6.2732 	Average Loss:  0.12598457659464055
Iteration:  15600 	s:6.8028 	Average Loss:  0.027580187225608243
Iteration:  15700 	s:6.0240 	Average Loss:  0.0287548147917812
Iteration:  15800 	s:6.2183 	Average Loss:  0.012282929691123528
Iteration:  15900 	s:5.6852 	Average Loss:  0.013132177299150767
Iteration:  16000 	s:5.8111 	Average Loss:  0.028455846712097204
Iteration:  16100 	s:7.2821 	Average Loss:  0.01766364847256802
Iteration:  16200 	s:8.1619 	Average Loss:  0.03536103546227233
Iteration:  16300 	s:6.3821 	Average Loss:  0.0314215017912771
Iteration:  16400 	s:7.4668 	Average Loss:  0.033032242528974146
Iteration:  16500 	s:7.3097 	Average Loss:  0.009178801402749731
Iteration:  16600 	s:5.3228 	Average Loss:  0.010858467764092312
Iteration:  16700 	s:5.8595 	Average Loss:  0.0745145679888951
Iteration:  16800 	s:6.6457 	Average Loss:  0.0853902014160451
Iteration:  16900 	s:9.3947 	Average Loss:  0.008780581290995073
Iteration:  17000 	s:5.8047 	Average Loss:  0.06719788643427602
Iteration:  17100 	s:6.3097 	Average Loss:  0.05087318823567537
Iteration:  17200 	s:6.9093 	Average Loss:  0.008354402966013658
Iteration:  17300 	s:5.6001 	Average Loss:  0.042283371648340146
Iteration:  17400 	s:5.9413 	Average Loss:  0.06129760893123454
Iteration:  17500 	s:6.3923 	Average Loss:  0.016762204890879557
Iteration:  17600 	s:6.8134 	Average Loss:  0.0193025212538768
Iteration:  17700 	s:6.1581 	Average Loss:  0.004509926076507016
Iteration:  17800 	s:6.0928 	Average Loss:  0.06490575878195685
Iteration:  17900 	s:5.6220 	Average Loss:  0.10345522751548802
Iteration:  18000 	s:5.6760 	Average Loss:  0.07423545938686851
Iteration:  18100 	s:5.9520 	Average Loss:  0.005548581419459699
Iteration:  18200 	s:5.9948 	Average Loss:  0.009791454272894996
Iteration:  18300 	s:5.7372 	Average Loss:  0.019606177115033922
Iteration:  18400 	s:6.2479 	Average Loss:  0.03433030861637446
Iteration:  18500 	s:6.4825 	Average Loss:  0.053475428460441045
Iteration:  18600 	s:6.3642 	Average Loss:  0.009531262976606092
Iteration:  18700 	s:6.1322 	Average Loss:  0.06047174628272823
Iteration:  18800 	s:7.1032 	Average Loss:  0.0127918404322807
Iteration:  18900 	s:6.7587 	Average Loss:  0.007623917146985119
Iteration:  19000 	s:6.3707 	Average Loss:  0.05000631057358884
Iteration:  19100 	s:6.6446 	Average Loss:  0.016063475224366606
Iteration:  19200 	s:6.6563 	Average Loss:  0.028953568939698117
Iteration:  19300 	s:6.2687 	Average Loss:  0.051301999908584896
Iteration:  19400 	s:6.2233 	Average Loss:  0.013799125152993624
Iteration:  19500 	s:6.0753 	Average Loss:  0.005316720359993372
Iteration:  19600 	s:6.3993 	Average Loss:  0.01519769137642589
Iteration:  19700 	s:6.3612 	Average Loss:  0.0016033772525794277
Iteration:  19800 	s:6.7265 	Average Loss:  0.026344622004045276
Iteration:  19900 	s:8.0215 	Average Loss:  0.0011533691944341218
Iteration:  20000 	s:6.8838 	Average Loss:  0.0013858121077315834
Epoch time:  324.25097846984863
Epoch 5
Iteration:  20100 	s:6.8163 	Average Loss:  0.006118048182484479
Iteration:  20200 	s:6.5238 	Average Loss:  0.06584661021076017
Iteration:  20300 	s:7.5913 	Average Loss:  0.04458397946595558
Iteration:  20400 	s:5.9144 	Average Loss:  0.03713868121629757
Iteration:  20500 	s:6.1106 	Average Loss:  0.01444678134109517
Iteration:  20600 	s:7.2190 	Average Loss:  0.007433456087899533
Iteration:  20700 	s:6.1763 	Average Loss:  0.04968990431474988
Iteration:  20800 	s:6.1684 	Average Loss:  0.03848802512367294
Iteration:  20900 	s:6.2708 	Average Loss:  0.018807843978882577
Iteration:  21000 	s:6.4545 	Average Loss:  0.02233725596683313
Iteration:  21100 	s:5.5238 	Average Loss:  0.015877394869783082
Iteration:  21200 	s:5.4195 	Average Loss:  0.0035973057231711535
Iteration:  21300 	s:6.5999 	Average Loss:  0.02157274379932523
Iteration:  21400 	s:6.8687 	Average Loss:  0.03250769400768266
Iteration:  21500 	s:6.1936 	Average Loss:  0.01488657408407989
Iteration:  21600 	s:5.9717 	Average Loss:  0.0018109000141944432
Iteration:  21700 	s:5.6901 	Average Loss:  0.03468495331650494
Iteration:  21800 	s:6.4268 	Average Loss:  0.06835668560318738
Iteration:  21900 	s:6.1479 	Average Loss:  0.03018699263356825
Iteration:  22000 	s:5.8678 	Average Loss:  0.06585456242144336
Iteration:  22100 	s:6.9811 	Average Loss:  0.05127649099171525
Iteration:  22200 	s:5.7141 	Average Loss:  0.027499449225086386
Iteration:  22300 	s:6.5488 	Average Loss:  0.014402841495808092
Iteration:  22400 	s:7.5815 	Average Loss:  0.0112539096297332
Iteration:  22500 	s:7.1036 	Average Loss:  0.009032200804793708
Iteration:  22600 	s:5.7929 	Average Loss:  0.0060295777488429
Iteration:  22700 	s:5.5226 	Average Loss:  0.019063581619214114
Iteration:  22800 	s:5.8907 	Average Loss:  0.04363580683973665
Iteration:  22900 	s:5.6957 	Average Loss:  0.01900388825423363
Iteration:  23000 	s:6.3662 	Average Loss:  0.11473509395662738
Iteration:  23100 	s:6.0008 	Average Loss:  0.003526060044470851
Iteration:  23200 	s:5.6614 	Average Loss:  0.01610872638239079
Iteration:  23300 	s:6.5428 	Average Loss:  0.05298154187633228
Iteration:  23400 	s:6.0068 	Average Loss:  0.007923927003660527
Iteration:  23500 	s:6.0389 	Average Loss:  0.012912067706708798
Iteration:  23600 	s:6.7282 	Average Loss:  0.016967521581777268
Iteration:  23700 	s:6.3370 	Average Loss:  0.011833196443773257
Iteration:  23800 	s:5.9045 	Average Loss:  0.02998091093545482
Iteration:  23900 	s:6.3401 	Average Loss:  0.0017382185842817676
Iteration:  24000 	s:5.7689 	Average Loss:  0.041756898501481655
Iteration:  24100 	s:6.6469 	Average Loss:  0.004000849708465406
Iteration:  24200 	s:6.3801 	Average Loss:  0.04545940444620921
Iteration:  24300 	s:5.6526 	Average Loss:  0.04476428311286277
Iteration:  24400 	s:6.3666 	Average Loss:  0.07054529991335212
Iteration:  24500 	s:6.0740 	Average Loss:  0.004441046934664099
Iteration:  24600 	s:5.7153 	Average Loss:  0.002074467714539967
Iteration:  24700 	s:5.6347 	Average Loss:  0.0019757504788065726
Iteration:  24800 	s:5.8286 	Average Loss:  0.0008402741892248589
Iteration:  24900 	s:6.1064 	Average Loss:  0.015216068043763879
Iteration:  25000 	s:5.2344 	Average Loss:  0.07529526512584049
Epoch time:  310.0265533924103
Epoch 6
Iteration:  25100 	s:5.6748 	Average Loss:  0.0005775663676687071
Iteration:  25200 	s:5.5492 	Average Loss:  0.0026436556791785025
Iteration:  25300 	s:5.3028 	Average Loss:  0.024969343927663364
Iteration:  25400 	s:5.2759 	Average Loss:  0.041953248377237136
