Caching ACs
Training  for 10 epoch(s)
Epoch 1
Iteration:  100 	s:26.8427 	Average Loss:  0.20321953166276216
Iteration:  200 	s:25.5458 	Average Loss:  0.24823112647980453
Iteration:  300 	s:24.5179 	Average Loss:  0.3250853996351361
Iteration:  400 	s:24.6750 	Average Loss:  0.27016218695789573
Iteration:  500 	s:25.2502 	Average Loss:  0.2775622224624385
Iteration:  600 	s:23.7673 	Average Loss:  0.27758589617908
Iteration:  700 	s:25.3366 	Average Loss:  0.22968109902751166
Iteration:  800 	s:27.5079 	Average Loss:  0.2807814576779492
Iteration:  900 	s:27.9852 	Average Loss:  0.3098694060952403
Iteration:  1000 	s:28.2144 	Average Loss:  0.2803021889133379
Iteration:  1100 	s:28.3276 	Average Loss:  0.27900996727701566
Iteration:  1200 	s:26.5740 	Average Loss:  0.2968443924335952
Iteration:  1300 	s:24.9412 	Average Loss:  0.25367361863143745
Iteration:  1400 	s:26.9296 	Average Loss:  0.3003911257138316
Iteration:  1500 	s:27.5396 	Average Loss:  0.20527660840371026
Iteration:  1600 	s:25.6401 	Average Loss:  0.2456810541273842
Iteration:  1700 	s:26.9084 	Average Loss:  0.18583827998854474
Iteration:  1800 	s:26.2175 	Average Loss:  0.2721394391517242
Iteration:  1900 	s:27.4502 	Average Loss:  0.22658435532196336
Iteration:  2000 	s:27.4058 	Average Loss:  0.241488216690841
Iteration:  2100 	s:27.7742 	Average Loss:  0.1675424824853053
Iteration:  2200 	s:26.5549 	Average Loss:  0.21004257439612048
Iteration:  2300 	s:25.9411 	Average Loss:  0.25454700640442013
Iteration:  2400 	s:26.7892 	Average Loss:  0.2201135072426041
Iteration:  2500 	s:27.5525 	Average Loss:  0.25061790258700056
Iteration:  2600 	s:27.7437 	Average Loss:  0.22005977212924335
Iteration:  2700 	s:27.4831 	Average Loss:  0.22117337958167582
Iteration:  2800 	s:27.5900 	Average Loss:  0.18343380002461346
Iteration:  2900 	s:27.7551 	Average Loss:  0.24042838025618493
Iteration:  3000 	s:26.0077 	Average Loss:  0.23538867064401528
Iteration:  3100 	s:28.1267 	Average Loss:  0.2023513676852599
Iteration:  3200 	s:27.0042 	Average Loss:  0.24430054631786333
Iteration:  3300 	s:27.2285 	Average Loss:  0.23733675089162717
Iteration:  3400 	s:26.8499 	Average Loss:  0.19143852930718822
Iteration:  3500 	s:25.6341 	Average Loss:  0.17833200345288788
Iteration:  3600 	s:26.4375 	Average Loss:  0.21499437246920933
Iteration:  3700 	s:26.0473 	Average Loss:  0.19229184662885018
Iteration:  3800 	s:27.4146 	Average Loss:  0.2350069932906081
Iteration:  3900 	s:27.3040 	Average Loss:  0.15283017558387654
Iteration:  4000 	s:26.6847 	Average Loss:  0.15906680601194695
Iteration:  4100 	s:26.6894 	Average Loss:  0.2750776667198352
Iteration:  4200 	s:26.1152 	Average Loss:  0.19878821148240605
Iteration:  4300 	s:26.6876 	Average Loss:  0.14797556849069224
Iteration:  4400 	s:26.4596 	Average Loss:  0.17894138529956763
Iteration:  4500 	s:26.6035 	Average Loss:  0.171905246616567
Iteration:  4600 	s:26.8064 	Average Loss:  0.15390869052068762
Iteration:  4700 	s:26.1579 	Average Loss:  0.19622241590661474
Iteration:  4800 	s:28.6382 	Average Loss:  0.1883633838658716
Iteration:  4900 	s:27.3736 	Average Loss:  0.17970548120591956
Iteration:  5000 	s:26.3854 	Average Loss:  0.1632388873792479
Epoch time:  1335.6031844615936
Epoch 2
Iteration:  5100 	s:27.6277 	Average Loss:  0.12709369649546262
Iteration:  5200 	s:26.1353 	Average Loss:  0.17195049240483512
Iteration:  5300 	s:25.2993 	Average Loss:  0.22681201511607058
Iteration:  5400 	s:25.4563 	Average Loss:  0.1504866339230648
Iteration:  5500 	s:27.6186 	Average Loss:  0.1791473136504669
Iteration:  5600 	s:25.3065 	Average Loss:  0.20170020838201025
Iteration:  5700 	s:25.6772 	Average Loss:  0.15121982948223375
Iteration:  5800 	s:27.5547 	Average Loss:  0.17443502209318396
Iteration:  5900 	s:27.3521 	Average Loss:  0.30599257268935615
Iteration:  6000 	s:26.7626 	Average Loss:  0.15540190480716773
Iteration:  6100 	s:26.9618 	Average Loss:  0.17985444629604103
Iteration:  6200 	s:25.3856 	Average Loss:  0.17712806176133655
