Caching ACs
Training  for 10 epoch(s)
Epoch 1
Iteration:  100 	s:7.1293 	Average Loss:  0.6106511350907385
Iteration:  200 	s:7.4839 	Average Loss:  0.4335070959408768
Iteration:  300 	s:7.3802 	Average Loss:  0.4458241632160207
Iteration:  400 	s:7.1113 	Average Loss:  0.4550395016104449
Iteration:  500 	s:7.4318 	Average Loss:  0.4754377645207569
Iteration:  600 	s:7.4560 	Average Loss:  0.39338207152715765
Iteration:  700 	s:7.3725 	Average Loss:  0.3662123342204723
Iteration:  800 	s:7.8145 	Average Loss:  0.4170245856313659
Iteration:  900 	s:7.1994 	Average Loss:  0.40071086623123847
Iteration:  1000 	s:7.3052 	Average Loss:  0.4174064863218769
Iteration:  1100 	s:7.2089 	Average Loss:  0.3643997269387637
Iteration:  1200 	s:7.5808 	Average Loss:  0.3106989666105892
Iteration:  1300 	s:7.9316 	Average Loss:  0.3656477199843903
Iteration:  1400 	s:7.3979 	Average Loss:  0.34171222548159674
Iteration:  1500 	s:7.6566 	Average Loss:  0.34525134882900604
Iteration:  1600 	s:7.3976 	Average Loss:  0.27766124944146214
Iteration:  1700 	s:6.8952 	Average Loss:  0.24642642873153364
Iteration:  1800 	s:7.1685 	Average Loss:  0.3762896075129413
Iteration:  1900 	s:7.3841 	Average Loss:  0.26645490207546574
Iteration:  2000 	s:7.1350 	Average Loss:  0.320163306812449
Iteration:  2100 	s:7.4429 	Average Loss:  0.28498312493708766
Iteration:  2200 	s:6.9422 	Average Loss:  0.3311428561339489
Iteration:  2300 	s:7.3517 	Average Loss:  0.2866287405768742
Iteration:  2400 	s:7.1843 	Average Loss:  0.3192022985937456
Iteration:  2500 	s:7.4670 	Average Loss:  0.18210116363297885
Iteration:  2600 	s:7.0418 	Average Loss:  0.27125836340803855
Iteration:  2700 	s:7.2183 	Average Loss:  0.24880291275430877
Iteration:  2800 	s:7.2565 	Average Loss:  0.22870297105618193
Iteration:  2900 	s:7.1327 	Average Loss:  0.23216488943615787
Iteration:  3000 	s:7.2398 	Average Loss:  0.2054457983173438
Iteration:  3100 	s:7.3526 	Average Loss:  0.25638635981650426
Iteration:  3200 	s:7.7431 	Average Loss:  0.2814908479973883
Iteration:  3300 	s:7.9038 	Average Loss:  0.25125942784992733
Iteration:  3400 	s:7.3735 	Average Loss:  0.14797817875929373
Iteration:  3500 	s:7.1831 	Average Loss:  0.21495412701472788
Iteration:  3600 	s:7.4396 	Average Loss:  0.24413386776025647
Iteration:  3700 	s:7.1724 	Average Loss:  0.2352179604566993
Iteration:  3800 	s:7.1647 	Average Loss:  0.18148089218667565
Iteration:  3900 	s:7.1192 	Average Loss:  0.11767794977228534
Iteration:  4000 	s:6.7088 	Average Loss:  0.30680802790760014
Iteration:  4100 	s:7.4152 	Average Loss:  0.19930056546475974
Iteration:  4200 	s:6.6001 	Average Loss:  0.1845075246515575
Iteration:  4300 	s:7.3457 	Average Loss:  0.21439560609512454
Iteration:  4400 	s:7.2956 	Average Loss:  0.20058833155767247
Iteration:  4500 	s:7.1769 	Average Loss:  0.20435837025468118
Iteration:  4600 	s:6.9938 	Average Loss:  0.19055540380069033
Iteration:  4700 	s:6.7926 	Average Loss:  0.10567226634136176
Iteration:  4800 	s:7.0763 	Average Loss:  0.2025959493145456
