Caching ACs
Training  for 10 epoch(s)
Epoch 1
Iteration:  100 	s:23.0856 	Average Loss:  2.9653772485256193
Iteration:  200 	s:16.7617 	Average Loss:  2.989365974664688
Iteration:  300 	s:16.4622 	Average Loss:  2.8138640826940535
Iteration:  400 	s:16.4218 	Average Loss:  2.5042746901512145
Iteration:  500 	s:16.2115 	Average Loss:  2.4248224890232084
Iteration:  600 	s:16.0389 	Average Loss:  2.1347759115695952
Iteration:  700 	s:15.7498 	Average Loss:  2.0163362830877305
Iteration:  800 	s:15.9879 	Average Loss:  1.7438988845422865
Iteration:  900 	s:14.7743 	Average Loss:  1.0810557138570585
Iteration:  1000 	s:14.4590 	Average Loss:  0.809436890478246
Iteration:  1100 	s:14.0126 	Average Loss:  0.577971053093861
Iteration:  1200 	s:14.3358 	Average Loss:  0.7057232023355755
Iteration:  1300 	s:14.7143 	Average Loss:  0.5725340685050468
Iteration:  1400 	s:13.6073 	Average Loss:  0.621618557991751
Iteration:  1500 	s:13.7980 	Average Loss:  0.6499795258411905
Iteration:  1600 	s:13.9387 	Average Loss:  0.5211035008946783
Iteration:  1700 	s:13.1192 	Average Loss:  0.27441755959131114
Iteration:  1800 	s:12.8750 	Average Loss:  0.3963657347680328
Iteration:  1900 	s:12.9113 	Average Loss:  0.5193965345064862
Iteration:  2000 	s:13.3768 	Average Loss:  0.5037415078785853
Iteration:  2100 	s:13.0050 	Average Loss:  0.3549634532984055
Iteration:  2200 	s:13.7913 	Average Loss:  0.5317743915738175
Iteration:  2300 	s:13.5903 	Average Loss:  0.385932719669363
Iteration:  2400 	s:13.6593 	Average Loss:  0.38567008456264373
Iteration:  2500 	s:13.3932 	Average Loss:  0.3915656792700429
Iteration:  2600 	s:13.0394 	Average Loss:  0.3520129667878973
Iteration:  2700 	s:13.1714 	Average Loss:  0.37680937761148015
Iteration:  2800 	s:12.4350 	Average Loss:  0.2920291415511715
Iteration:  2900 	s:13.0730 	Average Loss:  0.4030555915410878
Iteration:  3000 	s:13.9903 	Average Loss:  0.4670436156954334
Iteration:  3100 	s:13.3053 	Average Loss:  0.2334338363893403
Iteration:  3200 	s:12.6890 	Average Loss:  0.22011084581172327
